"","Stunting","Thinness","StuntingYoung","ThinnessYoung","WastingYoung"
"Age",0.000914351166412319,0.337952793336941,0.107985026523297,0.370546468557304,0.209893926201503
"Sex",0.0198626954937266,0.21619202184511,0.133795044624468,0.172259789651928,0.119698581502512
"FamilySize",0.000268268862503547,0.319797038021009,0.00141945397500701,0.385821335648228,0.0602567389048745
"Vaccine",0.04967501237878,0.164930426215693,0.00499567173866863,0.162538792619725,0.0783341249088328
"BCGScar",0.0239574178987331,0.218170227123653,0.0100959488734515,0.1949734363048,0.113254257630444
"FeverLast2Weeks",0,0.0836028020395377,0.057466506676713,0.136411745254574,0.0737564102854209
"DiarrheaLast2Weeks",0,0.0579894051638359,0.0716701625957866,0.129594510238498,0.0803337885425505
"CoughLast2Weeks",0.00102318502037253,0.0955574625130623,0.0253097319396673,0.176425965904574,0.0956584332026292
"NailsTrimmed",0.0229894377363908,0.102359651079565,0.0375469750586238,0.166551325577709,0.116978955267442
"NailsDirty",0.00136590227745161,0.0899970390405168,0.0116784727848085,0.19781847086532,0.13718629355366
"SchoolLatDoors",0.135449506798875,0.208532222536572,0.172087431184658,0.248256289347423,0.128133965698199
"SchoolLatFlies",0,0,0,0.0452285540268667,0.00149197586059936
"SchoolLatVisibleStool",0,0,0,0.0449352967208102,0.0021560843831723
"Suburban",0.0778133052941484,0.1518872676708,0.0124671394793412,0.126438193722629,0.0456561254126361
"Rural",0,0.052942184477838,0,0,0
"KitchenSeparate",0.00810310805780051,0.0775345235972505,0.000627601155315887,0.0625419078406208,0.0183420934902519
"CookElectric",0.0160499026307686,0.21824830645034,0.153520438534199,0.229171379222943,0.112730315560079
"Radio",0.0837569992624659,0.193249905137364,0.167097881482116,0.193093519960053,0.11446085718958
"TV",0.00371434036017482,0.162315880868325,0.0259474955673968,0.145879234069033,0.0955037898551784
"NoPhone",0,0,0,0.000288131531192279,0.0032400190849601
"Cattle",0,0.100193412485844,0.000578373646557311,0.0156488436045883,0.0283123751152157
"Sheep.Goat",0.00265582616207444,0.119881850989538,0,0.0965555924121645,0.0226102985449619
"Chicken",0.00546560011634254,0.170886926533316,0.0357460568013378,0.175919258763596,0.131857506901768
"HousePet",0.00281644427521957,0.211586885451937,0.129067396979692,0.194898283345207,0.14363885292472
"NoWaterInHouse",0.0228860013231355,0.220531895101342,0.0265448979816176,0.147296523185151,0.100897920954512
"TapWater",0.00264413849227662,0.127457279913493,0.057838122866392,0.0876142256751503,0.040582254894683
"WaterTreated",0.00464789517906907,0.108573420909022,0.0494486621494372,0.120524162706775,0.0798319030110682
"NoFamLat",0,0,0,0,0
"LatInside",0,0,0,0,0
"RiverBathing",0.00411798038744374,0.222342167001787,0.00239206519224536,0.176425887297344,0.082212302918829
"RiverLaundry",0.0395628005441603,0.225571731394371,0.00777033399785966,0.1757837578687,0.084737698771734
"DefecateField",0.00109853730146241,0.14255091862925,0.00746596131234578,0.156933229532037,0.0970973070468664
"DontUseSchoolLat",0.00244890775291976,0.161447607209256,0.0834577280204685,0.139156333565413,0.0970176344112122
"DontUseTP",0.00503284518114943,0.132139501980238,0.031355927377792,0.0802877194878505,0.0429331139261392
"EatSoil",0,0.0192003145225124,0.00618192834326986,0.0626967246074913,0.0239764682161514
"NeverWashFruit",0,0.00152827871558002,0.000394637762176762,0.000458533269110351,0.000158460683463575
"EatRawVeg",0.00542880313622027,0.153200867763073,0.101217181455806,0.178280650557624,0.144728278948163
"WalkBarefoot",0.0249892635478411,0.205404774059579,0.0126968713470922,0.178648842516132,0.1338389730744
"DewormPill",0.0310375974560735,0.210296021255367,0.0703468215820512,0.211893259376954,0.148908471898627
"Antibiotics",0.00337174726204274,0.0706337656452391,0.00219623746364703,0.09813142125798,0.0506915501224319
"TakesMeds",0,0,0,0.00340734874183903,0.00248807994383927
"AntiMalaria3Months",0,0,0,0,0
"Wheezing",0,0.040968309794485,0,0,0
"DocConfirmedAsthma",0,0.0403661679400706,0,0,0
"Rash",0,0.0706462986005142,0.0364858463558001,0.0752431624198741,0.0420106116984733
"HayFever",0,0.0408853214377643,0,0,0
"momFinishedPrimary",0.00307477217055094,0.222550623036998,0.0363567658725442,0.203915145311636,0.140544469689321
"momFinishedSecondary",0,0.179345023209317,0.0154975718277858,0.161767662992556,0.114636967163114
"momFinishedTertiary",0,0.0231233259988309,0.00208796480815296,0.0108030880836483,0.0122488357336341
"houseDustFloor",0.0169325772901457,0.143835688153085,0.0336564664677575,0.107316324267218,0.0734049106712492
"washHandsLatWater",0.000833424207171389,0.137473322876228,0,0.149068229457208,0.0476783576635355
"washHandsLatWaterSoap",0.0020152781289326,0.152671167983178,0,0.149858600408254,0.0608826151372866
"washHandsWaterB4Eat",0.000951769072839004,0.0295056324960255,0,0.0938907179894174,0.0438523624336101
"washHandsSoapB4Eat",0.000951769072839013,0.0295056324960254,0,0.0952311346358615,0.0474994025281727
