"","Importance"
"Age",0.0725865846028613
"Sex",0.138521413818758
"FamilySize",0.0645812907385456
"Vaccine",0.0635912248860748
"BCGScar",0.0764583720104686
"FeverLast2Weeks",0.0562058319878047
"DiarrheaLast2Weeks",0.0358080245637455
"CoughLast2Weeks",0.0354904441722142
"NailsTrimmed",0.0901207023308694
"NailsDirty",0.0815050350065822
"SchoolLatDoors",0.0826787632666047
"SchoolLatFlies",0.0112936489718575
"SchoolLatVisibleStool",0.0190228610004544
"Suburban",0.0821867688834407
"Rural",0.00291272970425982
"KitchenSeparate",0.0543867195421134
"CookElectric",0.0582832246425321
"Radio",0.0681716725208194
"TV",0.0728601080670408
"NoPhone",0.0142106835125384
"Cattle",0.0231775493637221
"Sheep.Goat",0.0301815352607288
"Chicken",0.073782889139758
"HousePet",0.0675189524555374
"NoWaterInHouse",0.0887557579494278
"TapWater",0.0249569576233608
"WaterTreated",0.056138644010539
"NoFamLat",0.0127444264322552
"LatInside",0.00200882444619834
"RiverBathing",0.0599852404661388
"RiverLaundry",0.0576042034564826
"DefecateField",0.0361269254454812
"DontUseSchoolLat",0.0829052430102099
"DontUseTP",0.0405416972505909
"EatSoil",0.0323158949228713
"NeverWashFruit",0.0163132428546697
"EatRawVeg",0.071741071478837
"WalkBarefoot",0.0516058128847042
"DewormPill",0.0761603977939624
"Antibiotics",0.0364386645696359
"TakesMeds",0.0236882919272712
"AntiMalaria3Months",-0.00404699576790251
"Wheezing",-0.00263581203578985
"DocConfirmedAsthma",-0.00111789819376026
"Rash",0.00776005680054193
"HayFever",0.00111073741795035
"momFinishedPrimary",0.0819502892291863
"momFinishedSecondary",0.0674451960452111
"momFinishedTertiary",0.0179700267177803
"houseDustFloor",0.0238744172113634
"washHandsLatWater",0.0498492548914945
"washHandsLatWaterSoap",0.0639792667318072
"washHandsWaterB4Eat",0.041428643230618
"washHandsSoapB4Eat",0.041428643230618
