"","Importance"
"Age",0.162201138139068
"Sex",0.148640976691694
"FamilySize",0.0913422565936652
"Vaccine",0.0505792446986572
"BCGScar",0.0845978870308873
"FeverLast2Weeks",0.0666202106026356
"DiarrheaLast2Weeks",0.0674973652020755
"CoughLast2Weeks",0.0790823059745228
"NailsTrimmed",0.0901414949402567
"NailsDirty",0.0794347782382693
"SchoolLatDoors",0.114314600880382
"SchoolLatFlies",0.00182794553435991
"SchoolLatVisibleStool",0.000695177950891663
"Suburban",0.0523499089174623
"Rural",-0.00131913547891699
"KitchenSeparate",0.0470934094096359
"CookElectric",0.122133120758303
"Radio",0.140557457049301
"TV",0.0679082594922297
"NoPhone",0.0379244678756581
"Cattle",0.0250218784634789
"Sheep.Goat",0.028218991998598
"Chicken",0.0838981165699723
"HousePet",0.109818565894945
"NoWaterInHouse",0.0931920823461007
"TapWater",0.0256140671853922
"WaterTreated",0.0802988863720017
"NoFamLat",0.00717986326519106
"LatInside",0.00149161859101007
"RiverBathing",0.0709718294414381
"RiverLaundry",0.0838202818200485
"DefecateField",0.0701515145231817
"DontUseSchoolLat",0.0533968728388642
"DontUseTP",0.0219900030935043
"EatSoil",0.0154646106900164
"NeverWashFruit",-0.00812124359601537
"EatRawVeg",0.136312355595362
"WalkBarefoot",0.100366396623772
"DewormPill",0.13121505144424
"Antibiotics",0.039381624099835
"TakesMeds",0.0134591956792922
"AntiMalaria3Months",0.0120651787391896
"Wheezing",0.00702552110950885
"DocConfirmedAsthma",0.0173726986873229
"Rash",0.0535046934989815
"HayFever",0.00484766302457997
"momFinishedPrimary",0.075368941912739
"momFinishedSecondary",0.0578839952364357
"momFinishedTertiary",0.0255451495756135
"houseDustFloor",0.0403718399880597
"washHandsLatWater",0.0187773316226002
"washHandsLatWaterSoap",0.0386398151867227
"washHandsWaterB4Eat",0.0251163056236658
"washHandsSoapB4Eat",0.0222512226885986
