"","Importance"
"Age",0.103002027978859
"Sex",0.179708360694201
"FamilySize",0.0934795389252616
"Vaccine",0.176895820962147
"BCGScar",0.189907781084182
"FeverLast2Weeks",0.0551976492388551
"DiarrheaLast2Weeks",0.0269137991339904
"CoughLast2Weeks",0.0643561178036954
"NailsTrimmed",0.165682429795221
"NailsDirty",0.131831979735422
"SchoolLatDoors",0.282565311745615
"SchoolLatFlies",-0.000295565545565545
"SchoolLatVisibleStool",0.00363007362736594
"Suburban",0.121901279063341
"Rural",0.0355055701646784
"KitchenSeparate",0.094359284929744
"CookElectric",0.138361850367151
"Radio",0.219632604989256
"TV",0.135480746698202
"NoPhone",0.0127761017411341
"Cattle",0.100967071680341
"Sheep.Goat",0.107830235616721
"Chicken",0.191198165192875
"HousePet",0.16517327549374
"NoWaterInHouse",0.144229033340031
"TapWater",0.112261202872641
"WaterTreated",0.107025486636909
"NoFamLat",-0.00704360542388388
"LatInside",0.0213776910400114
"RiverBathing",0.141337493927793
"RiverLaundry",0.141795313155058
"DefecateField",0.0963455766998834
"DontUseSchoolLat",0.0841845487815208
"DontUseTP",0.0650686434992423
"EatSoil",0.0286469599641641
"NeverWashFruit",0.00228833450884569
"EatRawVeg",0.167947668547723
"WalkBarefoot",0.15783357264138
"DewormPill",0.24231241048291
"Antibiotics",0.0440926069797462
"TakesMeds",0.0252613556785216
"AntiMalaria3Months",-0.000353535353535334
"Wheezing",0.0217890033424727
"DocConfirmedAsthma",0.0180445022532396
"Rash",0.0626605717134729
"HayFever",0.0183874146431753
"momFinishedPrimary",0.190778129686895
"momFinishedSecondary",0.216951583927409
"momFinishedTertiary",0.0425771886757328
"houseDustFloor",0.148766882622512
"washHandsLatWater",0.0969622559690241
"washHandsLatWaterSoap",0.107990324503337
"washHandsWaterB4Eat",0.0359740770889708
"washHandsSoapB4Eat",0.0359740770889708
