"","Importance"
"Age",0.134041557462612
"Sex",0.224654270945522
"FamilySize",0.0867589618722875
"Vaccine",0.139622003134365
"BCGScar",0.216787901701516
"FeverLast2Weeks",0.144783414403322
"DiarrheaLast2Weeks",0.123067193139904
"CoughLast2Weeks",0.174625811549299
"NailsTrimmed",0.158246131501754
"NailsDirty",0.176401968653004
"SchoolLatDoors",0.173480369100629
"SchoolLatFlies",0.0181454515175005
"SchoolLatVisibleStool",0.0187942226665786
"Suburban",0.0795392205687068
"Rural",0.00054701816930919
"KitchenSeparate",0.0486260747783983
"CookElectric",0.215149800168602
"Radio",0.206511799475375
"TV",0.142417524271939
"NoPhone",0.0193498357149142
"Cattle",0.0401061725854787
"Sheep.Goat",0.0923374701835945
"Chicken",0.189317967958755
"HousePet",0.225260958862437
"NoWaterInHouse",0.149668551329141
"TapWater",0.0776519440753123
"WaterTreated",0.126599841867145
"NoFamLat",-0.00317329385775822
"LatInside",-0.00121858623832308
"RiverBathing",0.114803527762861
"RiverLaundry",0.148345634063844
"DefecateField",0.106022664344183
"DontUseSchoolLat",0.117706716127005
"DontUseTP",0.0556109066155647
"EatSoil",0.0312288512614297
"NeverWashFruit",0.00931304145921348
"EatRawVeg",0.17193645856343
"WalkBarefoot",0.192674198966157
"DewormPill",0.191113808744381
"Antibiotics",0.074591820153355
"TakesMeds",0.0226200873992598
"AntiMalaria3Months",-0.0039931897006951
"Wheezing",-4.44957152274218e-05
"DocConfirmedAsthma",0.00123001408869415
"Rash",0.0526738366207083
"HayFever",0.00451045029015968
"momFinishedPrimary",0.208081997737189
"momFinishedSecondary",0.113459351018351
"momFinishedTertiary",0.0357592755394894
"houseDustFloor",0.0704742318382097
"washHandsLatWater",0.147456833770674
"washHandsLatWaterSoap",0.180915225705666
"washHandsWaterB4Eat",0.0319030892862904
"washHandsSoapB4Eat",0.0316328190160201
