"","Importance"
"Age",0.163510017255187
"Sex",0.213577884987957
"FamilySize",0.105401159505374
"Vaccine",0.123175775294227
"BCGScar",0.135098372095274
"FeverLast2Weeks",0.0992412078771478
"DiarrheaLast2Weeks",0.148368722023772
"CoughLast2Weeks",0.0890822951511985
"NailsTrimmed",0.173231724492375
"NailsDirty",0.164007615847117
"SchoolLatDoors",0.235967417276137
"SchoolLatFlies",-0.00269046434406365
"SchoolLatVisibleStool",-0.000275339150037918
"Suburban",0.0813994707191103
"Rural",0.0178050584496661
"KitchenSeparate",0.0556434020259025
"CookElectric",0.171844599552084
"Radio",0.157143899732596
"TV",0.0748693486469431
"NoPhone",0.0322223499654325
"Cattle",0.0547610550471531
"Sheep.Goat",0.0455284959409676
"Chicken",0.197794647615591
"HousePet",0.149126477077933
"NoWaterInHouse",0.10881905190284
"TapWater",0.0913600199402265
"WaterTreated",0.115376911971501
"NoFamLat",0.0131935617878134
"LatInside",0.00148940336662635
"RiverBathing",0.0859540930253649
"RiverLaundry",0.0920778127377481
"DefecateField",0.114120654973549
"DontUseSchoolLat",0.145056095618564
"DontUseTP",0.0748552071565461
"EatSoil",0.0287519350203868
"NeverWashFruit",0.0201637163384015
"EatRawVeg",0.122418010939658
"WalkBarefoot",0.177199826640542
"DewormPill",0.152371152020134
"Antibiotics",0.085304784920527
"TakesMeds",0.040973123429839
"AntiMalaria3Months",0.00164381259439048
"Wheezing",-0.00345284166298098
"DocConfirmedAsthma",0.00119902960878443
"Rash",0.0984190106355558
"HayFever",-0.00345284166298098
"momFinishedPrimary",0.142077765941523
"momFinishedSecondary",0.128830063061577
"momFinishedTertiary",0.044393111324799
"houseDustFloor",0.0980731222051297
"washHandsLatWater",0.0695494876178489
"washHandsLatWaterSoap",0.0753448433671493
"washHandsWaterB4Eat",0.0474359960703908
"washHandsSoapB4Eat",0.0464967821037356
