"","Importance"
"Age",0.000914351166412319
"Sex",0.0198626954937266
"FamilySize",0.000268268862503547
"Vaccine",0.04967501237878
"BCGScar",0.0239574178987331
"FeverLast2Weeks",0
"DiarrheaLast2Weeks",0
"CoughLast2Weeks",0.00102318502037253
"NailsTrimmed",0.0229894377363908
"NailsDirty",0.00136590227745161
"SchoolLatDoors",0.135449506798875
"SchoolLatFlies",0
"SchoolLatVisibleStool",0
"Suburban",0.0778133052941484
"Rural",0
"KitchenSeparate",0.00810310805780051
"CookElectric",0.0160499026307686
"Radio",0.0837569992624659
"TV",0.00371434036017482
"NoPhone",0
"Cattle",0
"Sheep.Goat",0.00265582616207444
"Chicken",0.00546560011634254
"HousePet",0.00281644427521957
"NoWaterInHouse",0.0228860013231355
"TapWater",0.00264413849227662
"WaterTreated",0.00464789517906907
"NoFamLat",0
"LatInside",0
"RiverBathing",0.00411798038744374
"RiverLaundry",0.0395628005441603
"DefecateField",0.00109853730146241
"DontUseSchoolLat",0.00244890775291976
"DontUseTP",0.00503284518114943
"EatSoil",0
"NeverWashFruit",0
"EatRawVeg",0.00542880313622027
"WalkBarefoot",0.0249892635478411
"DewormPill",0.0310375974560735
"Antibiotics",0.00337174726204274
"TakesMeds",0
"AntiMalaria3Months",0
"Wheezing",0
"DocConfirmedAsthma",0
"Rash",0
"HayFever",0
"momFinishedPrimary",0.00307477217055094
"momFinishedSecondary",0
"momFinishedTertiary",0
"houseDustFloor",0.0169325772901457
"washHandsLatWater",0.000833424207171389
"washHandsLatWaterSoap",0.0020152781289326
"washHandsWaterB4Eat",0.000951769072839004
"washHandsSoapB4Eat",0.000951769072839013
