"","Importance"
"Age",0.107985026523297
"Sex",0.133795044624468
"FamilySize",0.00141945397500701
"Vaccine",0.00499567173866863
"BCGScar",0.0100959488734515
"FeverLast2Weeks",0.057466506676713
"DiarrheaLast2Weeks",0.0716701625957866
"CoughLast2Weeks",0.0253097319396673
"NailsTrimmed",0.0375469750586238
"NailsDirty",0.0116784727848085
"SchoolLatDoors",0.172087431184658
"SchoolLatFlies",0
"SchoolLatVisibleStool",0
"Suburban",0.0124671394793412
"Rural",0
"KitchenSeparate",0.000627601155315887
"CookElectric",0.153520438534199
"Radio",0.167097881482116
"TV",0.0259474955673968
"NoPhone",0
"Cattle",0.000578373646557311
"Sheep.Goat",0
"Chicken",0.0357460568013378
"HousePet",0.129067396979692
"NoWaterInHouse",0.0265448979816176
"TapWater",0.057838122866392
"WaterTreated",0.0494486621494372
"NoFamLat",0
"LatInside",0
"RiverBathing",0.00239206519224536
"RiverLaundry",0.00777033399785966
"DefecateField",0.00746596131234578
"DontUseSchoolLat",0.0834577280204685
"DontUseTP",0.031355927377792
"EatSoil",0.00618192834326986
"NeverWashFruit",0.000394637762176762
"EatRawVeg",0.101217181455806
"WalkBarefoot",0.0126968713470922
"DewormPill",0.0703468215820512
"Antibiotics",0.00219623746364703
"TakesMeds",0
"AntiMalaria3Months",0
"Wheezing",0
"DocConfirmedAsthma",0
"Rash",0.0364858463558001
"HayFever",0
"momFinishedPrimary",0.0363567658725442
"momFinishedSecondary",0.0154975718277858
"momFinishedTertiary",0.00208796480815296
"houseDustFloor",0.0336564664677575
"washHandsLatWater",0
"washHandsLatWaterSoap",0
"washHandsWaterB4Eat",0
"washHandsSoapB4Eat",0
