"","Importance"
"Age",0.337952793336941
"Sex",0.21619202184511
"FamilySize",0.319797038021009
"Vaccine",0.164930426215693
"BCGScar",0.218170227123653
"FeverLast2Weeks",0.0836028020395377
"DiarrheaLast2Weeks",0.0579894051638359
"CoughLast2Weeks",0.0955574625130623
"NailsTrimmed",0.102359651079565
"NailsDirty",0.0899970390405168
"SchoolLatDoors",0.208532222536572
"SchoolLatFlies",0
"SchoolLatVisibleStool",0
"Suburban",0.1518872676708
"Rural",0.052942184477838
"KitchenSeparate",0.0775345235972505
"CookElectric",0.21824830645034
"Radio",0.193249905137364
"TV",0.162315880868325
"NoPhone",0
"Cattle",0.100193412485844
"Sheep.Goat",0.119881850989538
"Chicken",0.170886926533316
"HousePet",0.211586885451937
"NoWaterInHouse",0.220531895101342
"TapWater",0.127457279913493
"WaterTreated",0.108573420909022
"NoFamLat",0
"LatInside",0
"RiverBathing",0.222342167001787
"RiverLaundry",0.225571731394371
"DefecateField",0.14255091862925
"DontUseSchoolLat",0.161447607209256
"DontUseTP",0.132139501980238
"EatSoil",0.0192003145225124
"NeverWashFruit",0.00152827871558002
"EatRawVeg",0.153200867763073
"WalkBarefoot",0.205404774059579
"DewormPill",0.210296021255367
"Antibiotics",0.0706337656452391
"TakesMeds",0
"AntiMalaria3Months",0
"Wheezing",0.040968309794485
"DocConfirmedAsthma",0.0403661679400706
"Rash",0.0706462986005142
"HayFever",0.0408853214377643
"momFinishedPrimary",0.222550623036998
"momFinishedSecondary",0.179345023209317
"momFinishedTertiary",0.0231233259988309
"houseDustFloor",0.143835688153085
"washHandsLatWater",0.137473322876228
"washHandsLatWaterSoap",0.152671167983178
"washHandsWaterB4Eat",0.0295056324960255
"washHandsSoapB4Eat",0.0295056324960254
