"","Importance"
"Age",0.370546468557304
"Sex",0.172259789651928
"FamilySize",0.385821335648228
"Vaccine",0.162538792619725
"BCGScar",0.1949734363048
"FeverLast2Weeks",0.136411745254574
"DiarrheaLast2Weeks",0.129594510238498
"CoughLast2Weeks",0.176425965904574
"NailsTrimmed",0.166551325577709
"NailsDirty",0.19781847086532
"SchoolLatDoors",0.248256289347423
"SchoolLatFlies",0.0452285540268667
"SchoolLatVisibleStool",0.0449352967208102
"Suburban",0.126438193722629
"Rural",0
"KitchenSeparate",0.0625419078406208
"CookElectric",0.229171379222943
"Radio",0.193093519960053
"TV",0.145879234069033
"NoPhone",0.000288131531192279
"Cattle",0.0156488436045883
"Sheep.Goat",0.0965555924121645
"Chicken",0.175919258763596
"HousePet",0.194898283345207
"NoWaterInHouse",0.147296523185151
"TapWater",0.0876142256751503
"WaterTreated",0.120524162706775
"NoFamLat",0
"LatInside",0
"RiverBathing",0.176425887297344
"RiverLaundry",0.1757837578687
"DefecateField",0.156933229532037
"DontUseSchoolLat",0.139156333565413
"DontUseTP",0.0802877194878505
"EatSoil",0.0626967246074913
"NeverWashFruit",0.000458533269110351
"EatRawVeg",0.178280650557624
"WalkBarefoot",0.178648842516132
"DewormPill",0.211893259376954
"Antibiotics",0.09813142125798
"TakesMeds",0.00340734874183903
"AntiMalaria3Months",0
"Wheezing",0
"DocConfirmedAsthma",0
"Rash",0.0752431624198741
"HayFever",0
"momFinishedPrimary",0.203915145311636
"momFinishedSecondary",0.161767662992556
"momFinishedTertiary",0.0108030880836483
"houseDustFloor",0.107316324267218
"washHandsLatWater",0.149068229457208
"washHandsLatWaterSoap",0.149858600408254
"washHandsWaterB4Eat",0.0938907179894174
"washHandsSoapB4Eat",0.0952311346358615
