"","Importance"
"Age",0.209893926201503
"Sex",0.119698581502512
"FamilySize",0.0602567389048745
"Vaccine",0.0783341249088328
"BCGScar",0.113254257630444
"FeverLast2Weeks",0.0737564102854209
"DiarrheaLast2Weeks",0.0803337885425505
"CoughLast2Weeks",0.0956584332026292
"NailsTrimmed",0.116978955267442
"NailsDirty",0.13718629355366
"SchoolLatDoors",0.128133965698199
"SchoolLatFlies",0.00149197586059936
"SchoolLatVisibleStool",0.0021560843831723
"Suburban",0.0456561254126361
"Rural",0
"KitchenSeparate",0.0183420934902519
"CookElectric",0.112730315560079
"Radio",0.11446085718958
"TV",0.0955037898551784
"NoPhone",0.0032400190849601
"Cattle",0.0283123751152157
"Sheep.Goat",0.0226102985449619
"Chicken",0.131857506901768
"HousePet",0.14363885292472
"NoWaterInHouse",0.100897920954512
"TapWater",0.040582254894683
"WaterTreated",0.0798319030110682
"NoFamLat",0
"LatInside",0
"RiverBathing",0.082212302918829
"RiverLaundry",0.084737698771734
"DefecateField",0.0970973070468664
"DontUseSchoolLat",0.0970176344112122
"DontUseTP",0.0429331139261392
"EatSoil",0.0239764682161514
"NeverWashFruit",0.000158460683463575
"EatRawVeg",0.144728278948163
"WalkBarefoot",0.1338389730744
"DewormPill",0.148908471898627
"Antibiotics",0.0506915501224319
"TakesMeds",0.00248807994383927
"AntiMalaria3Months",0
"Wheezing",0
"DocConfirmedAsthma",0
"Rash",0.0420106116984733
"HayFever",0
"momFinishedPrimary",0.140544469689321
"momFinishedSecondary",0.114636967163114
"momFinishedTertiary",0.0122488357336341
"houseDustFloor",0.0734049106712492
"washHandsLatWater",0.0476783576635355
"washHandsLatWaterSoap",0.0608826151372866
"washHandsWaterB4Eat",0.0438523624336101
"washHandsSoapB4Eat",0.0474994025281727
