"rules","support","confidence","coverage","lift","count","oddsRatios","pVal"
"Stunting:",NA,NA,NA,NA,NA,NA,NA
"FEMALE:",NA,NA,NA,NA,NA,NA,NA
"{Chicken,DontUseTP,washHandsLatWaterSoap} => {Stunting}",0.0111731843575419,0.5,0.0223463687150838,2.63235294117647,6,4.46875,0.0140835330210129
"{Chicken,DontTreatWater,DontUseTP} => {Stunting}",0.0130353817504655,0.5,0.0260707635009311,2.63235294117647,7,4.50526315789474,0.0078622837326114
"{Chicken,DontUseTP,washHandsSoapB4Eat} => {Stunting}",0.0130353817504655,0.4375,0.0297951582867784,2.30330882352941,7,3.48771929824561,0.0187211448755601
"{Chicken,DontUseTP} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{Chicken,DontUseTP,RadioTV} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{Chicken,DontUseTP,EatSoil} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{Chicken,DontUseTP,WashRawVegFrequency} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{Chicken,LatOutside,DontUseTP} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{FamilySize,Chicken,DontUseTP} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{Age,Chicken,DontUseTP} => {Stunting}",0.0130353817504655,0.411764705882353,0.031657355679702,2.16782006920415,7,3.13157894736842,0.026916257612636
"{Urban,Chicken,DontUseTP} => {Stunting}",0.0111731843575419,0.4,0.0279329608938547,2.10588235294118,6,2.95833333333333,0.0465183697194178
"{Urban,HousePet,houseDustFloor} => {Stunting}",0.0279329608938547,0.394736842105263,0.0707635009310987,2.078173374613,15,3.08845577211394,0.0018573507678893
