"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","StuntingYouth","StuntingAdolescent","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","ThinnessYouth","ThinnessAdolescent","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",2,0,2,0,17,1,0,29,12,11,7,44,50,38,96,95,30,92,3
"Sex",0,0,0,0,0,0,0,41,0,0,36,91,32,64,21,0,0,1,0
"FamilySize",0,0,0,0,0,0,0,16,16,3,13,13,7,4,0,0,3,0,0
"Vaccine",0,0,1,0,0,0,0,41,74,61,33,76,30,22,16,0,14,1,0
"BCGScar",0,0,1,0,0,0,0,100,98,60,91,59,69,64,52,0,57,14,0
"Urban",2,0,12,0,0,0,0,11,43,51,0,0,2,57,2,1,0,0,0
"KitchenSeparate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CookElectric",0,0,0,0,0,0,0,100,75,81,100,21,94,65,16,5,3,1,0
"Cattle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SheepGoat",0,0,2,0,0,0,0,0,46,1,0,65,2,9,0,0,0,0,0
"Chicken",0,0,1,0,0,0,0,16,40,12,28,56,47,35,87,23,2,0,2
"HousePet",0,0,17,0,0,0,0,73,47,63,19,53,83,69,19,3,57,11,2
"PotableWaterFromHouse",3,0,32,0,0,0,0,85,15,61,51,46,14,49,27,1,31,1,0
"DontTreatWater",0,0,0,0,0,0,0,1,0,7,2,14,4,0,40,0,1,3,0
"LatOutside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DefecateField",0,0,0,0,0,0,0,2,54,0,10,4,25,8,64,16,1,0,0
"DontUseSchoolLat",0,0,1,0,0,0,0,5,0,36,14,0,9,30,50,0,0,1,0
"DontUseTP",0,0,0,0,0,0,0,0,0,4,0,0,0,8,1,0,0,0,0
"EatSoil",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"NeverWashFruit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EatRawVeg",0,0,0,0,0,0,0,33,30,27,67,0,48,20,5,1,3,0,1
"WashRawVegFrequency",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WalkBarefoot",0,0,0,0,0,0,0,93,59,43,92,34,45,25,17,0,2,0,1
"DewormPill",0,0,0,0,0,0,0,95,83,73,85,77,80,83,50,2,33,4,0
"Antibiotics",0,0,0,0,0,0,0,0,2,0,0,3,0,0,1,8,0,0,1
"DocConfirmedAsthma",0,0,0,0,0,0,0,0,0,10,0,0,0,2,0,0,0,0,0
"Rash",0,0,1,0,0,0,0,0,0,10,0,42,0,9,11,0,0,2,0
"momFinishedPrimary",0,0,0,0,0,0,0,52,67,77,63,13,53,91,7,1,2,1,0
"houseDustFloor",0,0,0,0,0,0,0,45,32,73,12,97,13,48,15,0,37,2,1
"washHandsLatWater",0,0,0,0,0,0,0,2,8,0,9,0,8,6,2,0,0,0,0
"washHandsLatWaterSoap",0,0,1,0,0,0,0,8,16,4,38,0,11,13,5,0,0,0,0
"washHandsWaterB4Eat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0
"washHandsSoapB4Eat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0
"SickLast2Weeks",0,0,6,0,0,0,0,11,21,12,10,84,61,5,4,0,1,0,0
"NailsMaintained",0,0,1,0,0,0,0,18,71,29,55,27,77,5,28,1,3,0,0
"SchoolLatClean",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"RadioTV",0,0,0,0,0,0,0,1,9,1,0,41,26,2,0,0,0,0,0
"RiverCleaning",9,0,37,11,0,0,0,88,42,77,98,8,81,82,65,3,19,5,0
"OtherMeds",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"momFinished2Up",0,0,1,0,0,0,0,34,39,94,67,12,29,84,18,1,0,5,0
