"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",100,100,100,100,100,26,89,92,28,100,100,100,100,100,100
"Sex",100,0,0,100,91,100,0,0,100,100,99,0,0,100,100
"FamilySize",100,100,56,100,100,2,87,24,67,84,39,99,100,89,100
"Vaccine",100,94,99,100,57,100,99,100,100,100,91,50,97,77,94
"BCGScar",94,45,100,82,28,100,100,100,100,100,99,98,100,99,100
"Urban",8,6,49,0,0,80,83,55,0,0,59,75,41,0,0
"KitchenSeparate",84,20,1,100,65,0,0,13,0,0,0,0,60,3,0
"CookElectric",99,100,100,96,36,100,99,100,100,96,99,98,95,97,84
"Cattle",68,100,0,68,73,0,2,0,0,35,0,0,0,0,31
"SheepGoat",32,100,0,18,17,6,76,0,0,91,0,0,0,0,0
"Chicken",22,56,95,25,30,91,85,97,91,94,95,83,92,89,100
"HousePet",100,9,100,98,44,100,97,100,99,100,100,99,100,100,96
"PotableWaterFromHouse",97,100,91,96,87,100,73,100,96,100,99,88,96,90,100
"DontTreatWater",63,50,52,82,38,13,3,72,18,57,29,13,69,29,22
"LatOutside",25,2,0,42,0,0,0,0,0,0,0,0,0,0,0
"DefecateField",5,7,7,10,47,52,96,1,68,0,45,82,1,37,56
"DontUseSchoolLat",49,37,92,27,100,54,0,96,81,0,27,3,64,58,0
"DontUseTP",91,67,84,94,28,5,0,9,6,0,3,15,1,14,0
"EatSoil",12,57,0,10,0,0,4,0,0,0,0,0,0,0,0
"NeverWashFruit",11,20,0,11,0,0,0,0,0,0,0,0,0,0,0
"EatRawVeg",50,64,97,83,70,100,90,100,100,0,100,100,98,100,91
"WashRawVegFrequency",14,10,0,3,22,0,0,0,0,0,0,0,0,0,0
"WalkBarefoot",89,87,100,96,77,100,100,100,100,100,100,100,97,99,97
"DewormPill",36,79,100,85,71,100,99,100,99,100,100,95,100,100,92
"Antibiotics",24,19,16,52,42,0,9,0,0,0,32,84,0,2,97
"DocConfirmedAsthma",18,1,0,17,0,0,0,0,0,0,0,0,0,0,0
"Rash",34,45,0,87,62,0,0,6,0,80,0,0,30,0,48
"momFinishedPrimary",10,9,100,3,73,100,100,100,100,99,100,100,100,99,100
"houseDustFloor",93,98,97,89,71,100,80,99,83,100,95,94,98,87,100
"washHandsLatWater",11,27,20,0,24,39,53,23,78,0,27,69,10,56,0
"washHandsLatWaterSoap",29,78,34,12,18,93,94,83,98,0,59,77,38,68,0
"washHandsWaterB4Eat",10,59,0,5,50,0,0,0,0,0,0,6,1,5,0
"washHandsSoapB4Eat",12,50,0,19,38,0,0,0,0,0,3,7,0,7,0
"SickLast2Weeks",7,25,100,23,89,96,91,91,85,100,99,87,87,92,100
"NailsMaintained",79,71,100,24,96,96,100,100,100,97,100,100,98,100,92
"SchoolLatClean",74,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RadioTV",4,7,13,10,9,47,21,39,3,83,4,1,32,18,0
"RiverCleaning",86,97,100,83,75,100,84,100,100,97,97,99,96,94,100
"OtherMeds",53,70,0,26,88,0,0,0,0,0,0,0,0,0,0
"momFinished2Up",7,34,97,24,84,100,86,100,100,87,100,78,99,91,100
