"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","StuntingYouth","StuntingAdolescent","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","ThinnessYouth","ThinnessAdolescent","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",100,100,100,100,100,100,100,26,89,92,28,100,100,84,100,100,100,100,100
"Sex",100,0,0,100,91,100,98,100,0,0,100,100,94,100,99,0,0,100,100
"FamilySize",100,100,56,100,100,100,100,2,87,24,67,84,79,75,39,99,100,89,100
"Vaccine",100,94,99,100,57,82,100,100,99,100,100,100,94,95,91,50,97,77,94
"BCGScar",94,45,100,82,28,1,97,100,100,100,100,100,100,100,99,98,100,99,100
"Urban",8,6,49,0,0,7,33,80,83,55,0,0,22,91,59,75,41,0,0
"KitchenSeparate",84,20,1,100,65,17,100,0,0,13,0,0,0,1,0,0,60,3,0
"CookElectric",99,100,100,96,36,100,26,100,99,100,100,96,100,100,99,98,95,97,84
"Cattle",68,100,0,68,73,74,57,0,2,0,0,35,0,0,0,0,0,0,31
"SheepGoat",32,100,0,18,17,52,34,6,76,0,0,91,10,13,0,0,0,0,0
"Chicken",22,56,95,25,30,50,83,91,85,97,91,94,90,81,95,83,92,89,100
"HousePet",100,9,100,98,44,100,4,100,97,100,99,100,100,100,100,99,100,100,96
"PotableWaterFromHouse",97,100,91,96,87,95,88,100,73,100,96,100,86,100,99,88,96,90,100
"DontTreatWater",63,50,52,82,38,68,9,13,3,72,18,57,10,15,29,13,69,29,22
"LatOutside",25,2,0,42,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0
"DefecateField",5,7,7,10,47,6,3,52,96,1,68,0,35,47,45,82,1,37,56
"DontUseSchoolLat",49,37,92,27,100,71,50,54,0,96,81,0,26,70,27,3,64,58,0
"DontUseTP",91,67,84,94,28,98,36,5,0,9,6,0,0,28,3,15,1,14,0
"EatSoil",12,57,0,10,0,8,43,0,4,0,0,0,0,0,0,0,0,0,0
"NeverWashFruit",11,20,0,11,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0
"EatRawVeg",50,64,97,83,70,65,11,100,90,100,100,0,98,82,100,100,98,100,91
"WashRawVegFrequency",14,10,0,3,22,6,62,0,0,0,0,0,0,0,0,0,0,0,0
"WalkBarefoot",89,87,100,96,77,44,95,100,100,100,100,100,99,100,100,100,97,99,97
"DewormPill",36,79,100,85,71,38,68,100,99,100,99,100,100,100,100,95,100,100,92
"Antibiotics",24,19,16,52,42,29,45,0,9,0,0,0,0,0,32,84,0,2,97
"DocConfirmedAsthma",18,1,0,17,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rash",34,45,0,87,62,100,89,0,0,6,0,80,0,5,0,0,30,0,48
"momFinishedPrimary",10,9,100,3,73,15,39,100,100,100,100,99,100,100,100,100,100,99,100
"houseDustFloor",93,98,97,89,71,89,95,100,80,99,83,100,76,100,95,94,98,87,100
"washHandsLatWater",11,27,20,0,24,17,23,39,53,23,78,0,54,19,27,69,10,56,0
"washHandsLatWaterSoap",29,78,34,12,18,51,8,93,94,83,98,0,75,84,59,77,38,68,0
"washHandsWaterB4Eat",10,59,0,5,50,47,61,0,0,0,0,0,0,0,0,6,1,5,0
"washHandsSoapB4Eat",12,50,0,19,38,69,51,0,0,0,0,0,0,0,3,7,0,7,0
"SickLast2Weeks",7,25,100,23,89,66,17,96,91,91,85,100,100,14,99,87,87,92,100
"NailsMaintained",79,71,100,24,96,72,6,96,100,100,100,97,99,83,100,100,98,100,92
"SchoolLatClean",74,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0
"RadioTV",4,7,13,10,9,39,57,47,21,39,3,83,63,14,4,1,32,18,0
"RiverCleaning",86,97,100,83,75,27,83,100,84,100,100,97,99,99,97,99,96,94,100
"OtherMeds",53,70,0,26,88,73,15,0,0,0,0,0,0,0,0,0,0,0,0
"momFinished2Up",7,34,97,24,84,13,37,100,86,100,100,87,91,100,100,78,99,91,100
