"","Stunting","StuntingMale","StuntingFemale","StuntingUrban","StuntingNotUrban","Thinness","ThinnessMale","ThinnessFemale","ThinnessUrban","ThinnessNotUrban","Wasting","WastingMale","WastingFemale","WastingUrban","WastingNotUrban"
"Age",100,100,99,100,43,72,100,45,48,74,100,100,99,100,100
"Sex",100,0,0,100,91,75,0,0,84,87,70,0,0,63,89
"FamilySize",99,98,82,85,33,99,100,28,100,48,11,59,84,12,16
"Vaccine",98,94,99,100,41,26,37,94,46,38,34,45,0,9,35
"BCGScar",2,6,1,0,46,72,83,6,53,71,60,31,100,91,52
"Urban",1,1,51,0,0,16,38,42,0,0,7,19,40,0,0
"KitchenSeparate",79,86,91,98,70,21,100,20,35,98,85,77,84,92,80
"CookElectric",18,31,4,7,6,79,59,44,96,29,53,95,9,24,18
"Cattle",69,47,3,70,76,27,10,95,60,19,5,7,12,57,12
"SheepGoat",29,76,90,26,12,69,100,17,15,88,96,36,92,45,95
"Chicken",2,7,20,4,1,65,47,17,34,81,96,97,45,36,100
"HousePet",100,82,100,100,80,41,60,89,58,28,80,78,100,94,67
"PotableWaterFromHouse",65,93,22,90,13,2,30,10,12,18,16,12,20,50,81
"DontTreatWater",33,73,20,63,76,10,25,11,9,75,39,91,30,45,57
"LatOutside",67,99,83,57,0,99,78,97,99,0,99,88,77,100,0
"DefecateField",0,0,27,0,5,9,42,24,21,100,94,99,31,69,87
"DontUseSchoolLat",12,9,11,2,100,55,97,21,43,100,95,99,45,72,100
"DontUseTP",80,90,58,93,68,36,2,69,37,35,31,14,50,38,23
"EatSoil",67,23,68,49,89,29,65,100,20,10,12,9,33,32,83
"NeverWashFruit",76,33,87,75,98,99,100,93,100,0,100,100,90,100,0
"EatRawVeg",20,66,49,55,64,50,54,10,31,100,20,24,41,15,45
"WashRawVegFrequency",30,7,69,16,91,20,23,97,18,33,54,98,32,54,64
"WalkBarefoot",66,54,61,80,23,21,3,37,76,42,44,15,45,23,53
"DewormPill",98,99,70,100,85,38,58,67,92,83,76,69,79,92,40
"Antibiotics",8,0,86,5,11,25,19,100,0,100,13,76,98,6,36
"DocConfirmedAsthma",96,88,98,80,54,95,62,96,91,0,95,19,82,84,0
"Rash",4,13,19,21,65,4,22,9,9,54,33,91,36,26,42
"momFinishedPrimary",100,86,74,92,72,78,35,96,89,32,28,15,76,6,77
"houseDustFloor",16,60,6,9,38,69,27,73,30,96,28,24,91,46,39
"washHandsLatWater",65,27,39,33,9,27,12,47,9,50,3,19,1,31,41
"washHandsLatWaterSoap",22,48,37,18,24,2,7,19,3,50,50,40,52,25,59
"washHandsWaterB4Eat",3,14,7,3,12,5,12,9,12,36,8,24,9,12,8
"washHandsSoapB4Eat",7,10,13,11,28,95,88,30,86,47,3,5,10,11,6
"SickLast2Weeks",7,50,85,6,27,64,12,74,68,20,30,18,29,59,63
"NailsMaintained",98,100,35,80,95,96,96,38,98,31,56,70,76,37,50
"SchoolLatClean",100,96,100,100,99,100,42,95,99,3,98,81,78,96,0
"RadioTV",67,20,95,71,37,81,83,50,80,76,40,47,48,57,98
"RiverCleaning",5,2,2,1,80,0,49,27,2,36,6,1,65,6,41
"OtherMeds",91,98,13,93,100,99,98,21,100,77,84,50,1,91,82
"momFinished2Up",0,14,26,7,38,30,25,83,37,35,48,58,10,94,61
