"","Stunting","Thinness","StuntingYoung","ThinnessYoung","WastingYoung"
"Age",0.0725865846028613,0.103002027978859,0.162201138139068,0.134041557462612,0.163510017255187
"Sex",0.138521413818758,0.179708360694201,0.148640976691694,0.224654270945522,0.213577884987957
"FamilySize",0.0645812907385456,0.0934795389252616,0.0913422565936652,0.0867589618722875,0.105401159505374
"Vaccine",0.0635912248860748,0.176895820962147,0.0505792446986572,0.139622003134365,0.123175775294227
"BCGScar",0.0764583720104686,0.189907781084182,0.0845978870308873,0.216787901701516,0.135098372095274
"FeverLast2Weeks",0.0562058319878047,0.0551976492388551,0.0666202106026356,0.144783414403322,0.0992412078771478
"DiarrheaLast2Weeks",0.0358080245637455,0.0269137991339904,0.0674973652020755,0.123067193139904,0.148368722023772
"CoughLast2Weeks",0.0354904441722142,0.0643561178036954,0.0790823059745228,0.174625811549299,0.0890822951511985
"NailsTrimmed",0.0901207023308694,0.165682429795221,0.0901414949402567,0.158246131501754,0.173231724492375
"NailsDirty",0.0815050350065822,0.131831979735422,0.0794347782382693,0.176401968653004,0.164007615847117
"SchoolLatDoors",0.0826787632666047,0.282565311745615,0.114314600880382,0.173480369100629,0.235967417276137
"SchoolLatFlies",0.0112936489718575,-0.000295565545565545,0.00182794553435991,0.0181454515175005,-0.00269046434406365
"SchoolLatVisibleStool",0.0190228610004544,0.00363007362736594,0.000695177950891663,0.0187942226665786,-0.000275339150037918
"Suburban",0.0821867688834407,0.121901279063341,0.0523499089174623,0.0795392205687068,0.0813994707191103
"Rural",0.00291272970425982,0.0355055701646784,-0.00131913547891699,0.00054701816930919,0.0178050584496661
"KitchenSeparate",0.0543867195421134,0.094359284929744,0.0470934094096359,0.0486260747783983,0.0556434020259025
"CookElectric",0.0582832246425321,0.138361850367151,0.122133120758303,0.215149800168602,0.171844599552084
"Radio",0.0681716725208194,0.219632604989256,0.140557457049301,0.206511799475375,0.157143899732596
"TV",0.0728601080670408,0.135480746698202,0.0679082594922297,0.142417524271939,0.0748693486469431
"NoPhone",0.0142106835125384,0.0127761017411341,0.0379244678756581,0.0193498357149142,0.0322223499654325
"Cattle",0.0231775493637221,0.100967071680341,0.0250218784634789,0.0401061725854787,0.0547610550471531
"Sheep.Goat",0.0301815352607288,0.107830235616721,0.028218991998598,0.0923374701835945,0.0455284959409676
"Chicken",0.073782889139758,0.191198165192875,0.0838981165699723,0.189317967958755,0.197794647615591
"HousePet",0.0675189524555374,0.16517327549374,0.109818565894945,0.225260958862437,0.149126477077933
"NoWaterInHouse",0.0887557579494278,0.144229033340031,0.0931920823461007,0.149668551329141,0.10881905190284
"TapWater",0.0249569576233608,0.112261202872641,0.0256140671853922,0.0776519440753123,0.0913600199402265
