"","term","estimate","std.error","statistic","p.value","p.adjust(summary(LIN_Thinness)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",-0.0676128928413774,0.15590837363259,-0.433670695588887,0.66462197510697,0.923467339634648,-0.373561354431841,0.238335568749087
"Age","Age",0.00172682726721236,0.00252815158917218,0.683039448507831,0.494741561212751,0.923467339634648,-0.00323431799620684,0.00668797253063156
"Sex","Sex",-0.001092834229244,0.0124668433721779,-0.0876592571687285,0.930165212427309,0.992615972096927,-0.0255572774258333,0.0233716089673453
"FamilySize","FamilySize",0.00453632132026649,0.00324408212694339,1.39833738566313,0.162324616604178,0.923467339634648,-0.00182973787774942,0.0109023805182824
"Vaccine","Vaccine",0.0106038987223408,0.0191283669985305,0.55435462541865,0.579461247567799,0.923467339634648,-0.0269328564857507,0.0481406539304323
"BCGScar","BCGScar",-0.0158966050443901,0.0175109681393169,-0.907808461412127,0.364200124161409,0.923467339634648,-0.0502594403325633,0.0184662302437831
"Urban","Urban",-0.000150302297868145,0.0162366557993621,-0.00925697383287817,0.992615972096927,0.992615972096927,-0.0320124771602345,0.0317118725644982
"KitchenSeparate","KitchenSeparate",0.00106822334408406,0.022419529517284,0.0476470009444458,0.96200717337526,0.992615972096927,-0.042926979771557,0.0450634264597251
"CookElectric","CookElectric",0.0216901532452105,0.0140335770773447,1.54558977555525,0.122522932782532,0.923467339634648,-0.00584878656531501,0.0492290930557361
"Cattle","Cattle",-0.0275072530218357,0.0263249684436832,-1.04491114892243,0.296318843627006,0.923467339634648,-0.0791663359120367,0.0241518298683652
"SheepGoat","SheepGoat",0.0554127399334641,0.0260017773710167,2.13111354438527,0.0333253789463387,0.923467339634648,0.00438787449533602,0.106437605371592
"Chicken","Chicken",-0.0199508368846517,0.0141872204499577,-1.40625409713086,0.159962161978043,0.923467339634648,-0.0477912804078339,0.00788960663853062
"HousePet","HousePet",0.00496111839026814,0.0125040600325602,0.396760602344321,0.691629429972282,0.923467339634648,-0.0195763573171748,0.0294985940977111
"PotableWaterFromHouse","PotableWaterFromHouse",-0.0104123172458103,0.0140430266209555,-0.741458200347827,0.458591334807924,0.923467339634648,-0.0379698004691308,0.0171451659775102
"DontTreatWater","DontTreatWater",-0.00207697793903987,0.0172166867113231,-0.120637493953693,0.90400262372078,0.992615972096927,-0.0358623269250243,0.0317083710469445
"LatOutside","LatOutside",0.0534167988668241,0.0490322519436336,1.08942169183318,0.276232811062975,0.923467339634648,-0.0428021642391765,0.149635761972825
