"","term","estimate","std.error","statistic","p.value","p.adjust(summary(LIN_Wasting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",-0.441506062374612,0.307687040717013,-1.43491926519153,0.15189115625814,0.811739402752864,-1.04592130940168,0.16290918465246
"Age","Age",0.0467672715255849,0.011143746680214,4.19672780328195,3.16790713553121e-05,0.0012988419255678,0.0248766830015027,0.0686578600496671
"Sex","Sex",-0.0321738937236941,0.0256112665056336,-1.25623985508943,0.209574241564302,0.811739402752864,-0.0824842348274518,0.0181364473800637
"FamilySize","FamilySize",0.000792487994457514,0.00710677833464424,0.111511567849848,0.911252282387512,0.987002437442838,-0.0131679478194488,0.0147529238083639
"Vaccine","Vaccine",0.000689966661264145,0.0423335977862403,0.0162983232549256,0.987002437442838,0.987002437442838,-0.0824694407154287,0.083849374037957
"BCGScar","BCGScar",0.0296842306544154,0.0389777913045458,0.761567796966307,0.446651698992976,0.986255066829691,-0.0468830869193341,0.106251548228165
"Urban","Urban",0.00308076635063829,0.0350129472930746,0.087989346479485,0.929917884766013,0.987002437442838,-0.0656980783415991,0.0718596110428757
"KitchenSeparate","KitchenSeparate",-0.0174100819320372,0.0507530302328,-0.343035319313518,0.73170588432544,0.987002437442838,-0.117108480779273,0.0822883169151982
"CookElectric","CookElectric",-0.023381841650195,0.0279705960096944,-0.835943633167169,0.403557720539424,0.973286267183317,-0.0783268099442695,0.0315631266438794
"Cattle","Cattle",-0.00373611090716558,0.06022124274325,-0.0620397510409124,0.95055421707819,0.987002437442838,-0.122033707140396,0.114561485326065
"SheepGoat","SheepGoat",-0.0378197972915443,0.0595194582801582,-0.635419044197722,0.525425317644838,0.986255066829691,-0.154738819930544,0.0790992253474556
"Chicken","Chicken",-0.0437799806984717,0.0294511965695397,-1.48652638255628,0.137725721972832,0.811739402752864,-0.101633415826385,0.0140734544294412
"HousePet","HousePet",0.0325142784478828,0.026078503713951,1.24678466236116,0.213018997104882,0.811739402752864,-0.0187138955682632,0.0837424524640287
"PotableWaterFromHouse","PotableWaterFromHouse",-0.00546182547284556,0.0284286140936115,-0.192124225783942,0.847717393043662,0.987002437442838,-0.0613065167864158,0.0503828658407247
"DontTreatWater","DontTreatWater",0.017186651031643,0.0364150150871968,0.471966055499058,0.63714237928419,0.987002437442838,-0.0543463920504853,0.0887196941137712
"LatOutside","LatOutside",0.131852828095789,0.147841632814161,0.891851811874466,0.372871067249421,0.973286267183317,-0.158564788486384,0.422270444677961
"DefecateField","DefecateField",-0.0759512132558356,0.0338329927150829,-2.244886046453,0.025180922699798,0.516208915345859,-0.142412175023671,-0.00949025148799967
"DontUseSchoolLat","DontUseSchoolLat",-0.0423887852090953,0.0344079690293501,-1.23194673806343,0.218507142501166,0.811739402752864,-0.109979220776714,0.0252016503585234
