"","term","estimate","std.error","statistic","p.value","p.adjust(summary(OR_Stunting)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",0.101572508267972,1.85178837414507,-1.23501281263999,0.216825735693835,0.751324899316399,0.00202979300960146,4.74281201437675
"Age","Age",1.12784142041287,0.033388333762395,3.60322139189963,0.000314297606868375,0.0128862018816034,1.05654395806984,1.20445779881095
"Sex","Sex",0.578279906932115,0.167480436120155,-3.27021634388458,0.00107465260604896,0.0220303784240037,0.415514328267347,0.801647025797923
"FamilySize","FamilySize",1.0201624869706,0.0425966257710961,0.46862668578428,0.639336499209704,0.834838203881234,0.937638075766361,1.10835835240096
"Vaccine","Vaccine",0.445159576891777,0.262008930201234,-3.0889117432716,0.00200891107585874,0.0274551180367361,0.2634198937206,0.737637318753851
"BCGScar","BCGScar",1.48973837956566,0.247850645973757,1.60822869268915,0.107785101274669,0.631312736037348,0.926176090231447,2.45365604496916
"Urban","Urban",1.25276652710751,0.215777681452142,1.04438200427512,0.296308686160775,0.751324899316399,0.825538152419857,1.92618518657009
"KitchenSeparate","KitchenSeparate",1.40227286786104,0.325951915856851,1.03725237006744,0.299618257065876,0.751324899316399,0.760036947358307,2.75003572740758
"CookElectric","CookElectric",0.780564522421533,0.190496924447659,-1.30048227865555,0.193435726155255,0.751324899316399,0.535900423761779,1.13177777918745
"Cattle","Cattle",1.45209596421066,0.328945875647036,1.13394948192967,0.256815739300656,0.751324899316399,0.75109190518512,2.74117727494305
"SheepGoat","SheepGoat",0.870024837676608,0.340556724570976,-0.408840902680323,0.682656420707039,0.848148886332988,0.436521513732042,1.66820133951939
"Chicken","Chicken",0.917704324058329,0.187164129998572,-0.458848751231964,0.646342783172872,0.834838203881234,0.632560644935775,1.31878530992172
"HousePet","HousePet",1.35906607279629,0.163519021810792,1.87622057224411,0.0606249983329755,0.414270821941999,0.985343463259474,1.87168575453251
"PotableWaterFromHouse","PotableWaterFromHouse",0.825895752605436,0.18213211429137,-1.05026355000443,0.293596958638914,0.751324899316399,0.578469898961498,1.18214140146939
"DontTreatWater","DontTreatWater",1.13836524832116,0.236981002238498,0.54685075736042,0.584481268577927,0.834838203881234,0.722509956610691,1.83395954895746
"LatOutside","LatOutside",1.62176824421371,0.786649336857664,0.614653874478622,0.53878332735224,0.834838203881234,0.418128671346541,10.7306602797141
"DefecateField","DefecateField",0.877208236178818,0.22473480303451,-0.58295765295251,0.559921807951319,0.834838203881234,0.560685148093099,1.35508047319119
"DontUseSchoolLat","DontUseSchoolLat",0.727151280738374,0.217857455346836,-1.46251930437831,0.143598958289962,0.735944661236056,0.470161622575564,1.10616531939007
