"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"(Intercept)","(Intercept)",0.00000000000000019621169423766,958.554170487527,-0.0377311357442481,0.969902050931193,3.94983057406652e-197,1.62208174383077e-318
"Age","Age",1.16868019997389,0.0377165558392843,4.13280254310777,0.000035836658253783,1.08582280774076,1.25907652166525
"HouseholdNumb","HouseholdNumb",0.987609454824974,0.0719345905607547,-0.173323402870805,0.862397229244119,0.855023061986115,1.13440120950884
"NumbOldSib","NumbOldSib",1.07155257001939,0.0764035866857229,0.904520321708047,0.365719563670969,0.923051063661706,1.24621837422442
"Young12","Young12",1.06566762530887,0.0975708782984557,0.651849015697616,0.514498577806415,0.880377341391094,1.29168439170539
"FeverPWeek","FeverPWeek",0.854675399618081,0.208551904848402,-0.752970977724536,0.451467354235179,0.553102736212214,1.25715579645855
"DiarrheaPWeek","DiarrheaPWeek",0.952474551050813,0.209873271708402,-0.232006153040569,0.816533234749489,0.614658888325406,1.41095134253624
"CoughPWeek","CoughPWeek",0.846641945741601,0.179980595355253,-0.924974193347477,0.354979331396011,0.586676056216641,1.19203891902133
"DistLatHouse","DistLatHouse",1.01740689455892,0.0372111865899156,0.463761884807258,0.642818353957854,0.948481853755101,1.09468135045763
"DistLatKitch","DistLatKitch",0.968643337477005,0.0380308418057238,-0.837709766948575,0.402193726690064,0.898140830564877,1.03842858376805
"WeeksDeworming","WeeksDeworming",1.00225400077199,0.0112581266198965,0.199985699129973,0.841491765639272,0.980406894452097,1.02471557699923
"Sex","Sex",0.506528528559199,0.192247935015384,-3.53800747940617,0.000403158638175731,0.346302422698052,0.736424322788164
"VaginalDeliv","VaginalDeliv",3.17606564347542,1.22394099448664,0.944198467881681,0.34506823801835,0.438504401872388,82.8951063422425
"Csection","Csection",3.28292145418685,1.25685415686845,0.945800836736264,0.3442501787314,0.413027389304051,88.8192833308705
"No.Vaccine","No.Vaccine",2.60714594731848,0.297953646204191,3.21612481824983,0.00129934305669452,1.46696766440962,4.73177088695845
"NoBCG","NoBCG",0.53106421448199,0.279883235998191,-2.2612012883402,0.0237467953740608,0.302638828241432,0.909304044546835
"Fever","Fever",1.77562192801294,0.48213389686436,1.19085330293339,0.233711179272045,0.696863617650796,4.63806071129812
"Diarrhea","Diarrhea",1.15373591549866,0.569764149448634,0.250990342782489,0.801821575603083,0.376521178997213,3.55036950098016
"Cough","Cough",1.39251301883384,0.50927935218513,0.650154066932485,0.515592707873571,0.510202848454298,3.7862667293021
"NoTrimNails","NoTrimNails",1.44846242944283,0.292098210287053,1.26841790631219,0.204648750375596,0.815938549854007,2.56957392001452
"DirtyNails","DirtyNails",0.907693461104312,0.263949565980787,-0.366920683967463,0.713678182343684,0.540111230343167,1.52275614300065
"TrimOnce2Week","TrimOnce2Week",0.948736869380276,0.365509417931201,-0.143973828585075,0.885521136059612,0.465718291117422,1.95753603278299
"TrimOnceMonth","TrimOnceMonth",0.712085070743518,0.321365201259166,-1.05661064731246,0.29068931919982,0.381851175688406,1.35056867735702
"NoLatDoors","NoLatDoors",1.00675148030194,0.182316875427397,0.03690712178707,0.970559061252758,0.703346055608734,1.43845165787329
"Flies","Flies",0.752483556619839,0.997873653669289,-0.284982104918958,0.775657851912345,0.100988755471183,5.76068660168511
"StoolFloor","StoolFloor",5.20056365110009,1.36741753624113,1.205752427812,0.227912963301324,0.432807136549544,138.21725858284
"Suburban","Suburban",0.932947892571604,0.249707340988353,-0.277949093340511,0.781051437058642,0.567994383570475,1.51434675807297
"Rural","Rural",0.821542657613264,0.877403062357315,-0.224037759604709,0.822727921996415,0.110041990401347,4.00025800834843
"NoLitMom","NoLitMom",0.887838296896606,0.365803504563117,-0.325217361718081,0.745016569535573,0.439220676903579,1.85391696660847
"PrimMom","PrimMom",0.881536329238097,0.353057755035904,-0.357134387275819,0.720991202349872,0.448264287477838,1.80028877730052
"HSMom","HSMom",0.921730466840262,0.370552888474554,-0.21994818017371,0.825911512603878,0.451617612111871,1.94200794195273
"KitchSep","KitchSep",1.57009948336915,0.457008692127646,0.987156240848919,0.323566050188091,0.646856426261496,3.90949529378629
"KitchRoof","KitchRoof",1.34497982184349,0.491698337564416,0.60276593991044,0.546664408130895,0.517242523739622,3.57317465971605
"KitchWall","KitchWall",0.568598884268103,0.322564457235351,-1.75028596408301,0.0800689816444137,0.303831595110671,1.08011713402549
"CookWood","CookWood",1.04512376852206,0.24083015468359,0.183263251391987,0.854591467177049,0.655363270829662,1.68763336455115
"CookGas","CookGas",0.201854998169758,1.14115462606117,-1.40226892451107,0.16083495639355,0.00998420438487984,1.35655865893755
"CookCoal","CookCoal",1.04579783819555,0.229932817115902,0.194752868257534,0.845586421362218,0.669308133141507,1.65089765146426
"CookKerosine","CookKerosine",0.000000148754324215041,807.728023269819,-0.0194631971030903,0.984471595935197,NA,50198180120209001544688
"CookElectric","CookElectric",0.712627685822062,0.201477120825669,-1.68156152587186,0.0926538964534903,0.478507381889633,1.05512570583777
"NoElect","NoElect",0.85607878126392,0.478807240740994,-0.324541610206176,0.745528025102103,0.326163847639393,2.1524652830624
"Radio","Radio",0.617628354209045,0.17072981902381,-2.82240310314886,0.00476652233926346,0.441349127204216,0.862429335431811
"TV","TV",1.10234123611715,0.248545393462832,0.392026233477824,0.695038830579556,0.681579981256014,1.80924081181608
"Phone","Phone",1.91057502062101,0.55279743540403,1.17114192867642,0.241541732763807,0.684461462240179,6.11637772141233
"Cattle","Cattle",1.60526755401556,0.353809753743667,1.33769755639111,0.180995047888007,0.79381352191353,3.1934998535854
"SheepGoat","SheepGoat",1.13059444015852,0.374922970439143,0.327383375578746,0.743377938669913,0.53231250298079,2.32871799129411
"Chicken","Chicken",0.752129327875538,0.253327668403956,-1.12442116195062,0.260834398669712,0.456206902106656,1.23352234482071
"Pet","Pet",1.24636134843961,0.263691819372678,0.835173368740501,0.403620101838718,0.74455126386347,2.09724366233077
"None","None",0.740669183281056,0.31015054896292,-0.967920903867662,0.33308387358081,0.403961615761773,1.36496263178553
"PotableWater","PotableWater",0.847964172607241,0.196491556182924,-0.839307787929293,0.401296614087624,0.577434160581496,1.24850610446668
