"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"(Intercept)","(Intercept)",2.21401938040117e-10,1047.56452652323,-0.0212216438980675,0.983068848835455,2.68483099838099e-193,9.24304922454448e-81
"Age","Age",1.69055508932859,0.117687442522624,4.46145246234282,8.14060061049916e-06,1.34851950564154,2.14124279520954
"Sex","Sex",0.557860150399354,0.262430835411209,-2.22400303540103,0.0261482400198988,0.331375639935233,0.929294018671847
"FamilySize","FamilySize",1.10683429982942,0.0669413091394446,1.51631271995336,0.129440296785071,0.97026573487784,1.2621960041012
"Vaccine","Vaccine",0.304758204230565,0.474601342201148,-2.50365197934137,0.0122918876123412,0.114820357528066,0.74636021279377
"BCGScar","BCGScar",2.65875621989145,0.456334660995218,2.14285372231285,0.0321248459541728,1.13079614956662,6.84726412046978
"FeverLast2Weeks","FeverLast2Weeks",1.00319922435126,0.385825629680237,0.00827865614912494,0.993394663525223,0.462266104340307,2.1114414729371
"DiarrheaLast2Weeks","DiarrheaLast2Weeks",0.938549910564377,0.358472845428215,-0.176915054988818,0.859575112982708,0.456261894090704,1.87013738263691
"CoughLast2Weeks","CoughLast2Weeks",0.632015127248879,0.435799895399475,-1.05287301453057,0.292399195472764,0.261705341863703,1.45525706623491
"NailsTrimmed","NailsTrimmed",0.286063343988725,0.418888142306826,-2.98777139719349,0.00281019665074573,0.123377955148314,0.641318535042202
"NailsDirty","NailsDirty",0.385190702042738,0.425399593168263,-2.24263669422754,0.0249202519837524,0.163805434650672,0.872521564473947
"SchoolLatDoors","SchoolLatDoors",0.920508886367198,0.256811662497159,-0.322526725235446,0.747053694745871,0.55568717726029,1.52404149283378
"SchoolLatFlies","SchoolLatFlies",0.493062480426161,1.39040846472829,-0.508569528856763,0.611053991949864,0.0344538145721092,13.0273318532522
"SchoolLatVisibleStool","SchoolLatVisibleStool",5808278.11569802,1047.56185196929,0.0148676612173265,0.988137759680522,5.19656487313313e+193,4.31121189293566e+195
"Suburban","Suburban",1.07436190287193,0.338972142919524,0.211601183508669,0.832418185932427,0.546171569878457,2.07242818519032
"Rural","Rural",0.487125213270374,1.3798022723624,-0.521258800565293,0.602186497269974,0.0181232358989446,5.80197045943857
"KitchenSeparate","KitchenSeparate",0.813517269357548,0.515875957056844,-0.400073159562004,0.689102632603505,0.304572554771992,2.34539193731819
"CookElectric","CookElectric",0.608862224433425,0.283745057360042,-1.7486234789088,0.0803561250689797,0.345448140011846,1.05378523570782
"Radio","Radio",0.573123438813243,0.248084717593422,-2.24380673410677,0.024844838947104,0.350995326838564,0.93015161423917
"TV","TV",1.8124477885436,0.357133616210518,1.66514232774007,0.0958843637476647,0.915767518622493,3.73195630307096
"Phone","Phone",3.20935449560096,0.821563907989576,1.4193294202281,0.155802998738957,0.72730714984598,19.3301596867266
"Cattle","Cattle",1.61783249858691,0.563995219898598,0.852998877584018,0.39365992664122,0.515534336602531,4.78664093014201
"`Sheep/Goat`","`Sheep/Goat`",2.49772625432072,0.61193370960434,1.49588232416515,0.134684323255266,0.71993503734383,8.08771201417953
"Chicken","Chicken",0.588535331237528,0.302766987667769,-1.75091188798314,0.0799610887324237,0.319486199525924,1.05089766175368
"HousePet","HousePet",1.79539748332869,0.244955413185597,2.38911412079358,0.0168890552950225,1.11075416654361,2.90745541193221
"HouseHasWater","HouseHasWater",0.860779488393,0.271981307374714,-0.551203021433045,0.581494509080605,0.506086495066239,1.47361792579537
"TapWater","TapWater",0.796550824026954,0.426415322672584,-0.533433791832737,0.593733330960728,0.334295003509884,1.79679589678744
"WaterTreated","WaterTreated",1.28005225511789,0.390113476350625,0.632895084063135,0.526802158264829,0.611680253815842,2.85279938165366
"FamLat","FamLat",4.6696697501514,1.23362078418846,1.2492399379293,0.211577328527025,0.585225249275442,106.355372598799
"LatInside","LatInside",1.48555042675212e-07,1162.46872641015,-0.0135249318389727,0.989208994689358,NA,6.25207134286752e+50
"RiverBathing","RiverBathing",1.56353732171041,0.40050426126004,1.11597006943737,0.26443494654522,0.71439627760729,3.45197040879827
"RiverLaundry","RiverLaundry",0.959584548437748,0.377079627348226,-0.10940620293625,0.912880314052468,0.462037129933706,2.03587507706842
"DefecateField","DefecateField",1.17776823482022,0.332186164583293,0.492559108965583,0.62232414691028,0.61887800570985,2.2843589942905
"UseSchoolLat","UseSchoolLat",0.559588631270379,0.368034446670808,-1.57744297432749,0.114693633765823,0.263358712164768,1.12295580815612
"UseTP","UseTP",3.71133942035547,0.410291525495488,3.19624647285974,0.00139228123048673,1.649575368001,8.30627594110219
"EatSoil","EatSoil",NA,NA,NA,NA,NA,NA
"WashFruit","WashFruit",0.641745824122726,0.309188654292398,-1.43460298464963,0.151400263617188,0.344739654316032,1.16314024424237
"EatRawVeg","EatRawVeg",0.715246526293041,0.258877747665362,-1.29454156148716,0.195478423010445,0.430527277763238,1.19045685115877
"WalkBarefoot","WalkBarefoot",1.06931962262594,0.271859997473907,0.246533436853085,0.805269324138149,0.626404457775245,1.82297678715602
"DewormPill","DewormPill",1.10288921984313,0.260883688461147,0.375390659669298,0.707369950366403,0.663285265262542,1.84895153314646
"Antibiotics","Antibiotics",1.31710767153518,0.435913402778771,0.631864431824212,0.52747546679465,0.54427332743654,3.03777865846005
"TakesMeds","TakesMeds",2.24673651724961,0.62281440840748,1.29971098229172,0.193700044896683,0.633275605414072,7.48389775792604
"AntiMalaria3Months","AntiMalaria3Months",1.64865264037988,1.0215924115758,0.489391235756146,0.624564739704088,0.181738171273054,12.1017280309719
"Wheezing","Wheezing",0.0613760459208598,2680.4619535361,-0.00104113981093844,0.999169290769293,2.99494452976359e-139,41146239477407712
"DocConfirmedAsthma","DocConfirmedAsthma",1.68913476954912e-07,1194.59581693312,-0.013053686445881,0.989584960909015,NA,3.00925193197966e+60
"Rash","Rash",0.514760092869168,0.523484897909363,-1.26852623370065,0.204610088423447,0.168806523031955,1.34775282503595
"HayFever","HayFever",339524981.783184,2399.5448637506,0.0081861599601841,0.993468462305478,4.76138544469301e-204,NA
"momFinishedPrimary","momFinishedPrimary",0.877725542229015,0.342000222350414,-0.381348665771792,0.702944546879701,0.45086442454388,1.7298553570985
"momFinishedSecondary","momFinishedSecondary",0.833092609098872,0.348929873233981,-0.523344321062375,0.600734663366462,0.419366747418725,1.65335876892072
"momFinishedTertiary","momFinishedTertiary",0.278807699847319,0.846263997582157,-1.50926068733812,0.13123217688082,0.0386085577296451,1.22743015067374
"houseDustFloor","houseDustFloor",1.63369517793763,0.350273037627799,1.40131947565734,0.161118559814218,0.82041733298355,3.2503578838013
"washHandsLatWater","washHandsLatWater",0.394216621270954,0.781192937606368,-1.19158107527324,0.233425549136903,0.0892822902011466,1.9985283777307
"washHandsLatWaterSoap","washHandsLatWaterSoap",0.286871953104514,0.769278217175469,-1.62323499005997,0.104539180683658,0.0663199536192997,1.41825171896921
"washHandsWaterB4Eat","washHandsWaterB4Eat",2.39631355115053,1.74502374960265,0.500813548417486,0.616502349629627,0.0575425649382004,96.340689827987
"washHandsSoapB4Eat","washHandsSoapB4Eat",2.0731563359119,1.71661269804338,0.424715631393527,0.671043987354947,0.0521197554493483,79.9573939953391
