"","term","estimate","std.error","statistic","p.value","p.adjust(summary(OR_Thinness)$coefficients[1:41, 4], method = ""BH"")","2.5 %","97.5 %"
"(Intercept)","(Intercept)",3.08921715601398e-16,7341.25849467569,-0.00486475769822882,0.996118500250386,0.998279993024565,0,7.11470212549769e+135
"Age","Age",1.05422833449639,0.0734940222113991,0.718549090287017,0.47241879078547,0.998279993024565,0.910689074247172,1.2163005476174
"Sex","Sex",1.00626178967213,0.380494572251193,0.0164056640530353,0.986910761097306,0.998279993024565,0.476379834867823,2.13798142753139
"FamilySize","FamilySize",1.14074016330633,0.0931154042853502,1.41413033421455,0.157323638060422,0.814389058117285,0.944756106053832,1.36182536709745
"Vaccine","Vaccine",1.23373472261,0.513736059222129,0.408859617752674,0.68264268555228,0.998279993024565,0.446016559267349,3.3997034249152
"BCGScar","BCGScar",0.680681855876867,0.469955317412512,-0.818503886914834,0.413069523488679,0.998279993024565,0.276245352328536,1.77023904763531
"Urban","Urban",1.03862605557883,0.494818749235375,0.0765911546084286,0.938948795883559,0.998279993024565,0.409508545775741,2.91970653888387
"KitchenSeparate","KitchenSeparate",0.978108101310191,0.661155002098324,-0.0334794139776456,0.973292281894185,0.998279993024565,0.306540038637821,4.43794255977852
"CookElectric","CookElectric",1.9586444973518,0.409385728464832,1.64210084588372,0.100569106420922,0.814389058117285,0.884377036763749,4.44742254766673
"Cattle","Cattle",0.292980352597658,0.961386507321803,-1.2769575179644,0.201617245796901,0.814389058117285,0.033984706976967,1.63397230568983
"`Sheep/Goat`","`Sheep/Goat`",5.56273983667353,0.668266720696068,2.56797280205833,0.010229518183676,0.419410245530715,1.37378269900862,19.6504080534858
"Chicken","Chicken",0.484612170633453,0.494889899831843,-1.46377276311033,0.143256046734246,0.814389058117285,0.168978246021528,1.20232863046975
"HousePet","HousePet",1.20241454184968,0.368208018205352,0.500618249167847,0.616639816567491,0.998279993024565,0.574861041695039,2.45973189311537
