"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"(Intercept)","(Intercept)",2.25286212760229e-09,10248.5865469183,-0.00194281077505111,0.998449862253195,NA,1.88726312428801e+237
"Age","Age",1.07276798132019,0.226059893868388,0.310723876931573,0.756010543989158,0.674639970628034,1.67000276439114
"Sex","Sex",0.695910310897818,1.03478226318902,-0.350348574285224,0.726077115339608,0.0832187454750547,5.29296932947173
"FamilySize","FamilySize",1.37872388053521,0.220121829994116,1.4590027127551,0.144564361048029,0.902614978624572,2.1748681907227
"Vaccine","Vaccine",1.94384221626154,0.909687601115442,0.730653619390562,0.464990751927934,0.339526007303315,13.0536836253009
"BCGScar","BCGScar",0.155487246538196,1.06139031201114,-1.75354112949388,0.0795091660722708,0.0156368464663245,1.12211220646602
"FeverLast2Weeks","FeverLast2Weeks",1.57675311762689e-09,2448.21077141779,-0.00827865734836248,0.993394662568403,7.38176824562096e-232,0
"DiarrheaLast2Weeks","DiarrheaLast2Weeks",2.27110196228931e-08,5054.39610541093,-0.00348219949866324,0.997221612397371,1.20081117855588e-61,1.12876303626217e+45
"CoughLast2Weeks","CoughLast2Weeks",1.45553735885964,1.4560310495175,0.257807106084945,0.796555779972395,0.0471640067330131,21.0586572153285
"NailsTrimmed","NailsTrimmed",1.89093295953695,1.12987031918759,0.563843766707092,0.57286046294972,0.214431819824995,19.6839556410205
"NailsDirty","NailsDirty",1.85082104481292,1.20618421667687,0.510394133940567,0.609775365715006,0.176755867450315,21.9850877544257
"SchoolLatDoors","SchoolLatDoors",3.41546267949623,0.902387763766536,1.36118087771686,0.173456535632428,0.655854519999264,24.3564396780609
"SchoolLatFlies","SchoolLatFlies",0.00018211865224202,35303.1293714084,-0.000243911865639967,0.999805386490139,0,Inf
"SchoolLatVisibleStool","SchoolLatVisibleStool",187716955113.74,36754.5850427133,0.000706257493513068,0.999436488096821,0,Inf
"Suburban","Suburban",0.751193399597139,1.25678890433616,-0.22763738334926,0.8199281551201,0.0512222955450201,8.33173875082747
"Rural","Rural",4.53691768858021,1.71344463520941,0.882577602558765,0.377464534240868,0.114177263412592,141.158680660191
"KitchenSeparate","KitchenSeparate",0.120995629408324,1.35975403455482,-1.55322271599039,0.120369936196184,0.00751239407086803,1.89206997579119
"CookElectric","CookElectric",2.03229727653116,1.00373597636436,0.70652724742414,0.479860314256917,0.294952944668021,16.3075396508159
