"","term","estimate","std.error","statistic","p.value","2.5 %","97.5 %"
"(Intercept)","(Intercept)",5.2848843447613e-22,13514.9358734398,-0.00362502802597427,0.997107652440239,1.68445305646775e-173,1.45661373675128e+134
"Age","Age",1.27375491869296,0.29584870565371,0.817881445845599,0.413424885840522,0.721926192493553,2.34058331842026
"Sex","Sex",2.41490584068921,0.664707155241722,1.32638905724005,0.184710861524187,0.692469499737566,9.84598623778587
"FamilySize","FamilySize",1.26944561942406,0.170681272770019,1.39781172918007,0.162169611221242,0.909137533016213,1.79646476801841
"Vaccine","Vaccine",2.42709473249959,0.915913179474396,0.968099355495533,0.33299475174156,0.388415150758394,15.4150283902915
"BCGScar","BCGScar",0.429642671955136,0.903381963680317,-0.935154170860529,0.349708852791259,0.0718355588674818,2.67212576280459
"FeverLast2Weeks","FeverLast2Weeks",0.891330921174459,0.938116661826564,-0.122628155867752,0.902401557551794,0.127937826061021,5.35857624439739
"DiarrheaLast2Weeks","DiarrheaLast2Weeks",0.521558296278162,0.932971808115181,-0.697699779734635,0.485364965947551,0.0657351512466987,2.83172984707013
"CoughLast2Weeks","CoughLast2Weeks",4.43832770266933,0.892855906923933,1.66911329184963,0.0950949295824553,0.748717853587857,26.6838166805225
"NailsTrimmed","NailsTrimmed",0.797942293518785,0.979275610110595,-0.230495884613982,0.817706461009993,0.128319591466261,6.47665426057041
"NailsDirty","NailsDirty",0.186933244955053,1.10846093131626,-1.51291187387026,0.130302045396111,0.0178346067523367,1.46570318376218
"SchoolLatDoors","SchoolLatDoors",0.173769427860114,0.771570257226554,-2.26813562261508,0.0233209417652426,0.0329493647779554,0.712299008989389
"SchoolLatFlies","SchoolLatFlies",5354636.14216255,5028.69603266629,0.00308101209768927,0.99754171190488,1.1349675526092e-44,1.74196470382982e+55
"SchoolLatVisibleStool","SchoolLatVisibleStool",4.10321598106517e-10,5028.69670946359,-0.00429814743796306,0.996570585078407,3.84614758387395e-61,9.63200441051219e+38
"Suburban","Suburban",0.26193850131736,1.15546609144859,-1.15939839384708,0.246293831174455,0.017864408532725,1.97511304796729
"Rural","Rural",9.34438082782378e-09,9628.00382561139,-0.00192028285303622,0.998467836900826,3.57479860794477e-116,4.20799485428599e+103
"KitchenSeparate","KitchenSeparate",0.521179009004422,1.27554720110302,-0.510887961133327,0.609429511568639,0.0543508356733633,12.4866644868298
"CookElectric","CookElectric",2.77125139686997,0.690805430537165,1.47552254361026,0.14007211201088,0.747693427219189,11.7256569822446
"Radio","Radio",2.41096611814008,0.682490418958852,1.28943575121667,0.197246639119192,0.661413068051218,10.0953192498313
"TV","TV",0.958219919286063,0.824301144482381,-0.0517747267495698,0.958708193666703,0.203435635680721,5.60686976893697
