"Var_name","true_count","false_count"
"Age","0 (NaN)%","0  ( 0"
"HouseholdNumb","0 (0)%","1  ( 1"
"NumbOldSib","10 (3.5)%","279  ( 289"
"Young12","8 (2.4)%","330  ( 338"
"FeverPWeek","0 (0)%","39  ( 39"
"DiarrheaPWeek","0 (0)%","30  ( 30"
"CoughPWeek","0 (0)%","32  ( 32"
"DistLatHouse","0 (0)%","2  ( 2"
"DistLatKitch","3 (16.7)%","15  ( 18"
"WeeksDeworming","0 (0)%","3  ( 3"
"Sex","21 (3.9)%","517  ( 538"
"VaginalDeliv","35 (3.7)%","915  ( 950"
"Csection","3 (4)%","72  ( 75"
"No.Vaccine","12 (3.9)%","298  ( 310"
"NoBCG","20 (4.5)%","425  ( 445"
"Fever","6 (3.3)%","178  ( 184"
"Diarrhea","5 (3.3)%","148  ( 153"
"Cough","8 (4.7)%","163  ( 171"
"NoTrimNails","12 (2.9)%","409  ( 421"
"DirtyNails","11 (2.7)%","403  ( 414"
"TrimOnce2Week","23 (4.3)%","512  ( 535"
"TrimOnceMonth","15 (3.7)%","390  ( 405"
"NoLatDoors","23 (4.9)%","447  ( 470"
"Flies","38 (3.7)%","986  ( 1024"
"StoolFloor","38 (3.7)%","988  ( 1026"
"Suburban","6 (3.1)%","189  ( 195"
"Rural","1 (7.7)%","12  ( 13"
"NoLitMom","12 (4)%","291  ( 303"
"PrimMom","13 (3)%","420  ( 433"
"HSMom","13 (5.7)%","216  ( 229"
"KitchSep","36 (3.8)%","916  ( 952"
"KitchRoof","37 (4)%","898  ( 935"
"KitchWall","36 (4.1)%","835  ( 871"
"CookWood","28 (3.4)%","787  ( 815"
"CookGas","1 (12.5)%","7  ( 8"
"CookCoal","32 (3.9)%","783  ( 815"
"CookKerosine","0 (0)%","8  ( 8"
"CookElectric","20 (4.9)%","386  ( 406"
"NoElect","2 (3.9)%","49  ( 51"
"Radio","22 (3.8)%","554  ( 576"
"TV","31 (3.8)%","791  ( 822"
"Phone","39 (3.9)%","962  ( 1001"
"Cattle","2 (2.7)%","73  ( 75"
"SheepGoat","5 (6.7)%","70  ( 75"
"Chicken","9 (3.1)%","285  ( 294"
"Pet","15 (3.9)%","365  ( 380"
"None","16 (3.6)%","433  ( 449"
"PotableWater","26 (3.7)%","669  ( 695"
"DrinkDirect","32 (3.6)%","845  ( 877"
"OwnLatrine","39 (3.8)%","981  ( 1020"
"Outside.Latrine","39 (3.8)%","981  ( 1020"
"Sewage","1 (4.8)%","20  ( 21"
"Ditch","1 (2.1)%","47  ( 48"
"River","2 (6.9)%","27  ( 29"
"SometimesBathRiv","14 (4.2)%","316  ( 330"
"NeverBathRiv","22 (3.3)%","643  ( 665"
"SometimesWashCloth","12 (3.5)%","333  ( 345"
"NeverWashCloth","22 (3.6)%","596  ( 618"
"AlwaysDeficate","0 (0)%","6  ( 6"
"SometimesDeficate","8 (4.3)%","180  ( 188"
"AlwaysSchoolLat","3 (6.7)%","42  ( 45"
"SometimesSchoolLat","30 (3.9)%","745  ( 775"
"SometimesTP","26 (4)%","628  ( 654"
"NeverTP","5 (3.5)%","138  ( 143"
"SometimesWashHands","20 (4)%","475  ( 495"
"NeverWashHands","2 (7.1)%","26  ( 28"
"WaterWashHands","7 (2.9)%","236  ( 243"
"AlwashHandsEating","31 (3.6)%","827  ( 858"
"SometimesHandsEating","8 (4.5)%","168  ( 176"
"WaterWashEat","38 (4.2)%","874  ( 912"
"AlwaysSoil","0 (0)%","5  ( 5"
"SometimesSoil","2 (3.9)%","49  ( 51"
"NeverWashFruits","0 (0)%","34  ( 34"
"SometimesWashFruits","29 (4.1)%","674  ( 703"
"SometimesRawVeg","28 (4)%","678  ( 706"
"AlwaysRawVeg","0 (0)%","4  ( 4"
"SometimesBarefoot","15 (3.3)%","435  ( 450"
"AlwaysBarefoot","2 (5.1)%","37  ( 39"
"NoShoes","15 (3.3)%","434  ( 449"
"Sandals","23 (4)%","549  ( 572"
"Deworm","24 (3.7)%","623  ( 647"
"Antibiotic","3 (2.5)%","119  ( 122"
"Drugs","0 (0)%","42  ( 42"
"Antimalarial","0 (0)%","7  ( 7"
"Wheezing","1 (20)%","4  ( 5"
"Wheezing0y","1 (20)%","4  ( 5"
"Wheezing0y.1","1 (14.3)%","6  ( 7"
"Wheeze13","15 (4.3)%","335  ( 350"
"Wheeze412","0 (0)%","1  ( 1"
"Asthma","1 (25)%","3  ( 4"
"Asthma0y","1 (20)%","4  ( 5"
"Asthma0y.1","3 (3.7)%","79  ( 82"
"NoDoctCon","38 (3.7)%","988  ( 1026"
"Rash","3 (3.6)%","80  ( 83"
"Sneeze","1 (12.5)%","7  ( 8"
"HayFever","0 (0)%","5  ( 5"
"Colds","1 (14.3)%","6  ( 7"
