"Variable_Name","C_Odds_Ratio","Conf_025","Conf_975","P_Value"
"Age","0.117985595170502","0.0622853433471975","0.220972088235691",0.000000000637946342425352
"HouseholdNumb","0.25288619097866","0.156068662861231","0.408160084414915",0.000000320664179411034
"NumbOldSib","0.281178882719072","0.226377733075773","0.347146880742678",0.0000000000000000000000000000097398957711371
"Young12","0.271446470548754","0.21237856122728","0.344549744120825",0.00000000000000000000000140638093342805
"FeverPWeek","0.294859396469837","0.251556875227123","0.344164385776749",0.00000000000000000000000000000000000000000000000000669082921823869
"DiarrheaPWeek","0.295121566650059","0.252208602715422","0.343873615860243",0.000000000000000000000000000000000000000000000000000610922009770124
"CoughPWeek","0.294917574082845","0.251771425740886","0.343987536465511",0.00000000000000000000000000000000000000000000000000251654517818362
"DistLatHouse","0.2734248987827","0.206029127495888","0.365670378352163",0.00000000000000000541372267938973
"DistLatKitch","0.280415469082268","0.217081131637476","0.36594369765726",0.0000000000000000000120372134905907
"WeeksDeworming","0.305614485263561","0.246613332141583","0.376037635284437",0.0000000000000000000000000108024561518589
"Sex","0.356948228883882","0.29142544443341","0.434456577990426",0.000000000000000000000141398218754297
"VaginalDeliv","0.211267605633793","0.116523649916595","0.35790648483476",0.000000627136441929032
"Csection","0.295148247978976","0.253308732627452","0.342481133951713",0.00000000000000000000000000000000000000000000000000000078151494549023
"No.Vaccine","0.253886010362771","0.211129836345502","0.303318529055424",0.00000000000000000000000000000000000000000000000454619503888968
"NoBCG","0.273706896551971","0.224063681971285","0.331903709394369",0.00000000000000000000000000000000000126170669735531
"Fever","0.287009063444535","0.243641787754751","0.336471341751317",0.0000000000000000000000000000000000000000000000000365502796323256
"Diarrhea","0.292825768668147","0.249544805147204","0.34205780277116",0.00000000000000000000000000000000000000000000000000708554960798586
"Cough","0.289120715350664","0.245827429780965","0.338443297723579",0.0000000000000000000000000000000000000000000000000157220325181942
"NoTrimNails","0.273291925466076","0.224605327726907","0.330190616038897",0.0000000000000000000000000000000000000386887109601446
"DirtyNails","0.277207392197411","0.228270365539316","0.334330232678835",0.000000000000000000000000000000000000047805705563404
"TrimOnce2Week","0.274809160305596","0.22109729119809","0.338637826431335",0.000000000000000000000000000000540305166446316
"TrimOnceMonth","0.309128630706134","0.256447687313263","0.370420605998605",0.000000000000000000000000000000000245936773668276
"NoLatDoors","0.295194508009692","0.24166767196519","0.35805710198376",0.0000000000000000000000000000000177829941648952
"Flies","0.333333333334347","0.0739548942803673","1.11718869844374",0.496845594991991
"StoolFloor","0.11111111299764","0.00602488506749651","0.591201854033291",0.296814446705306
"Suburban","0.291858678955938","0.247687370576092","0.342266356570566",0.00000000000000000000000000000000000000000000000117425981544568
"Rural","0.291666666667151","0.251391451511647","0.337065502991948",0.0000000000000000000000000000000000000000000000000000000000457562277966811
"NoLitMom","0.283712784588813","0.237586368073674","0.336877428443136",0.0000000000000000000000000000000000000000000959758058735508
"PrimMom","0.302375809935849","0.249455052428607","0.364186733524461",0.00000000000000000000000000000000113500149099138
"HSMom","0.287081339713338","0.242592765475512","0.338006220028035",0.0000000000000000000000000000000000000000000000157140081637176
"KitchSep","0.235294117647077","0.131840138121211","0.394812076669569",0.00000210680924164132
"KitchRoof","0.278481012658529","0.169579586696616","0.438406366649301",0.0000013659358798629
"KitchWall","0.375000000000969","0.263616392547046","0.524004379798135",0.000000320664179411034
"CookWood","0.227777777777785","0.160161022538477","0.316194893284065",0.000000000000000285669025770402
