"Variable_Name","C_Odds_Ratio","Conf_025","Conf_975","P_Value"
"Age","0.0330721801844452","0.00820349933627984","0.127868172678537",0.0000126927721356956
"HouseholdNumb","0.0201275620024286","0.00701924407241329","0.0565018956514383",0.00000000000342693717505512
"NumbOldSib","0.0297534915600786","0.0176493231259928","0.0475891070811414",0.00000000000000000000000000000000000000000163362717744837
"Young12","0.0353451010232161","0.0201288401477711","0.0588689132287735",0.00000000000000000000000000000000705574592094115
"FeverPWeek","0.0383070963560787","0.0266038623612388","0.0532797335210465",0.0000000000000000000000000000000000000000000000000000000000000000000000000293799597456229
"DiarrheaPWeek","0.0385169254135255","0.0268318915806045","0.0533759554782643",0.00000000000000000000000000000000000000000000000000000000000000000000000000169196627178855
"CoughPWeek","0.0342906237496866","0.0234877833987911","0.0482099341795517",0.0000000000000000000000000000000000000000000000000000000000000000000000000408128918290868
"DistLatHouse","0.0378275416548981","0.0217176681802615","0.0737169628634278",0.00000000000000000000000427462535682295
"DistLatKitch","0.0404005774339013","0.0235930619278359","0.0760568948380964",0.00000000000000000000000143736577080167
"WeeksDeworming","0.0390567943070761","0.0236794196901301","0.0606082708767836",0.000000000000000000000000000000000000000184800642948729
"Sex","0.0375000000000059","0.0225681141581849","0.0581624000728239",0.0000000000000000000000000000000000000000534691653753076
"VaginalDeliv","0.0487804878048741","0.0148918710385197","0.117011496538466",0.0000000549590777363213
"Csection","0.0389189189189239","0.0273958724964847","0.0534254828629321",0.000000000000000000000000000000000000000000000000000000000000000000000000000000156219103833651
"No.Vaccine","0.0386266094420611","0.0256646163341527","0.0555335425546996",0.00000000000000000000000000000000000000000000000000000000000453177806117305
"NoBCG","0.0332167832168445","0.0203006334213851","0.0509024637604321",0.000000000000000000000000000000000000000000000117521041760694
"Fever","0.0402930402930427","0.0278930561205976","0.0560711707224358",0.0000000000000000000000000000000000000000000000000000000000000000000000252254770624535
"Diarrhea","0.0400471142520617","0.0278838786575975","0.0554677007921767",0.0000000000000000000000000000000000000000000000000000000000000000000000000894492354330679
"Cough","0.0371702637889748","0.0254270290356229","0.052211163277578",0.000000000000000000000000000000000000000000000000000000000000000000000123000759295457
"NoTrimNails","0.0459183673469397","0.0304734952033538","0.0661178076770236",0.0000000000000000000000000000000000000000000000000000154272751320107
"DirtyNails","0.047138047138047","0.0315232875526122","0.0674701972864199",0.00000000000000000000000000000000000000000000000000000169559215780119
"TrimOnce2Week","0.0329896907217233","0.0192187808805668","0.05238223292154",0.00000000000000000000000000000000000000152087511569792
"TrimOnceMonth","0.0395387149917634","0.0255798935252871","0.0580478108919396",0.000000000000000000000000000000000000000000000000000117936097689496
"NoLatDoors","0.0290909090916363","0.0169608961500366","0.0461406188466918",0.00000000000000000000000000000000000000000129525829186027
"Flies","0.0909090909090848","0.00497307038448107","0.467254788204968",0.216867510974361
"StoolFloor","0.111111111111097","0.00602489809136972","0.591201979681562",0.334056715299648
"Suburban","0.0408415841584168","0.028270487185783","0.0568403575961177",0.000000000000000000000000000000000000000000000000000000000000000000000107419760870055
"Rural","0.0385786802030453","0.0274268574607701","0.0525306241395149",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000228996315757146
"NoLitMom","0.0382436260623287","0.0254117290903134","0.0549785098191675",0.00000000000000000000000000000000000000000000000000000000000187890532340492
"PrimMom","0.0450606585788561","0.0296608070094837","0.0652978227998629",0.000000000000000000000000000000000000000000000000000298205724146521
"HSMom","0.0332906530090206","0.0219558244964416","0.0481203331675278",0.00000000000000000000000000000000000000000000000000000000000000150121057216298
"KitchSep","0.037037037037043","0.00908470857592622","0.098878122144314",0.000000290392343996628
"KitchRoof","0.0202020203828517","0.003330423087266","0.0636727640946178",0.000000606301091064698
"KitchWall","0.0185185190541729","0.00457336439549863","0.0487169994494125",0.000000000120804487955169
"CookWood","0.0523809523809504","0.0268619770724702","0.0913760947621968",0.0000000000000000000330084219682551
"CookGas","0.0383838383838395","0.0272890801431965","0.0522635517493611",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000012335562381538
"CookCoal","0.0327102803739151","0.013925374454973","0.0642209185466512",0.0000000000000000107548671944644
"CookKerosine","0.0394337714863477","0.0281616667944149","0.053499237077509",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000249203355523933
"CookElectric","0.0310965630116721","0.019012464187417","0.0476274556954702",0.00000000000000000000000000000000000000000000000145145696721966
"NoElect","0.0390295358649848","0.0276119964353683","0.0533588879570617",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000144393274209073
"Radio","0.0383747178329624","0.0227255982516376","0.0602431510651056",0.0000000000000000000000000000000000000341202130550141
"TV","0.0388349514563122","0.0175624208482704","0.0734913095830686",0.00000000000000000414981948961954
"Phone","0.0000000235046282929297","0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000337281208796982","1069352.6721655",1
"Cattle","0.0400432900432887","0.0283251373982465","0.0547545980355697",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000320154318809178
"SheepGoat","0.0366774541531918","0.0255502825218102","0.0507689495468058",0.00000000000000000000000000000000000000000000000000000000000000000000000000000452161435139543
"Chicken","0.0421348314606747","0.0286099104006003","0.0595587681830161",0.0000000000000000000000000000000000000000000000000000000000000054158643358812
"Pet","0.0379746835443072","0.0245745840201478","0.0557320782847257",0.00000000000000000000000000000000000000000000000000000486854037315453
"None","0.0407801418439698","0.0261144178729715","0.060354451647984",0.000000000000000000000000000000000000000000000000174214238080648
"PotableWater","0.0396341463414672","0.021610212217382","0.0660771208484145",0.0000000000000000000000000000986010785388488
"DrinkDirect","0.0460526315789512","0.0195329564624382","0.0909736489765317",0.000000000000030404976235042
"OwnLatrine","0.0000000235046277595324","0","47933485543617462272",1
"Outside.Latrine","0.0000000235046275039554","0","47933490554967457792",1
"Sewage","0.0388945752302997","0.0276502185986977","0.0529636637607453",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000634812414930178
"Ditch","0.0399999999999989","0.0284316818247351","0.0544793867023457",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000202765122145813
"River","0.0381443298969139","0.0269891189698422","0.0521405621195373",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000886171236206572
"SometimesBathRiv","0.0367107195301125","0.023985601037384","0.0534700306954281",0.00000000000000000000000000000000000000000000000000000000168764579770994
"NeverBathRiv","0.0480225988700585","0.0283851639143657","0.0755873170192416",0.00000000000000000000000000000000705574592094115
"SometimesWashCloth","0.0406626506024117","0.0270085089229092","0.0584857228371985",0.0000000000000000000000000000000000000000000000000000000004375160308873
"NeverWashCloth","0.0423940149625946","0.0250859591227526","0.0666258562557045",0.00000000000000000000000000000000000855804153356476
"AlwaysDeficate","0.039354187689201","0.0281051407600186","0.0533905401459766",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000196207110978311
"SometimesDeficate","0.0379436964504316","0.0259530441983837","0.0533055722136458",0.00000000000000000000000000000000000000000000000000000000000000000000101780848192622
"AlwaysSchoolLat","0.0376963350785365","0.0265399079440498","0.0517358902474751",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000345637264125166
"SometimesSchoolLat","0.0357142857142989","0.0170034353582061","0.0652983060732329",0.00000000000000000000206673115842081
"SometimesTP","0.035230352303542","0.019227721460505","0.0586528245585788",0.000000000000000000000000000000576900599060083
"NeverTP","0.0395809080326","0.0275611524817817","0.0548172652874846",0.0000000000000000000000000000000000000000000000000000000000000000000000000251416185919665
"SometimesWashHands","0.0363984674329596","0.022231787467452","0.0558236805216638",0.0000000000000000000000000000000000000000000457554559805883
"NeverWashHands","0.0381050463439801","0.0269614734137451","0.0520865041141662",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000789716826075598
"WaterWashHands","0.0420499342969801","0.0289264768424166","0.0588209563280422",0.000000000000000000000000000000000000000000000000000000000000000000291255684677939
"AlwashHandsEating","0.0470588235294145","0.0212350845003637","0.0893655048280581",0.000000000000000562135695354435
"SometimesHandsEating","0.037394451145961","0.0255795126035646","0.0525283554281347",0.000000000000000000000000000000000000000000000000000000000000000000000226764805475022
"WaterWashEat","0.00813008133134542","0.000461879025278204","0.0362666431315625",0.0000180783859810953
"AlwaysSoil","0.0393145161290305","0.0280769613378064","0.0533363594005827",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000175943974287653
"SometimesSoil","0.039029535864984","0.0276119964353684","0.0533588879570613",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000144393274209073
"NeverWashFruits","0.0404984423676029","0.0289177565382338","0.0549536582201387",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000706416081153615
"SometimesWashFruits","0.0309597523222165","0.0153939259308508","0.0549294727449335",0.0000000000000000000000000697293377448156
"SometimesRawVeg","0.0344827586207178","0.0177578725825541","0.0597769717328233",0.0000000000000000000000000128268761336651
"AlwaysRawVeg","0.0392749244712956","0.0280488400665033","0.0532822857849659",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000156091950351173
"SometimesBarefoot","0.0427046263345192","0.0276132130716532","0.0627402218374817",0.0000000000000000000000000000000000000000000000000469094128666042
"AlwaysBarefoot","0.0385416666666741","0.0272687251340131","0.0526873778667732",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000310890101537586
"NoShoes","0.0426287744227351","0.0275645222984502","0.0626277198294506",0.0000000000000000000000000000000000000000000000000417706459475993
"Sandals","0.0357142857142998","0.0207945567229143","0.0567521723533535",0.000000000000000000000000000000000000116459906715693
"Deworm","0.0401069518716587","0.0228849062878773","0.0647197392930141",0.00000000000000000000000000000000787118977709157
"Antibiotic","0.0410022779043268","0.0288538056944038","0.0563063349275224",0.0000000000000000000000000000000000000000000000000000000000000000000000000000720698863692122
"Drugs","0.0408376963350787","0.0291586372647252","0.0554172124520785",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000202789880261932
"Antimalarial","0.0393939393939393","0.0281333753826288","0.0534448333489986",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000221126182610753
"Wheezing","0.0383451059535817","0.027261688232176","0.0522104666461447",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000110995526567543
"Wheezing0y","529544.994670781","0.0000000000000000000000000000000000000000000000000021972772798061","0",1
"Wheezing0y.1","0.0000123119600935102","0","0",1
"Wheeze13","0.0362537764350561","0.0234678241433471","0.0531859261899956",0.000000000000000000000000000000000000000000000000000000118092133249102
"Wheeze412","0.0391566265060254","0.0279648124794421","0.0531207219652919",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000106780696482304
"Asthma","0.0392584514721909","0.0276335346396107","0.0538948432994098",0.000000000000000000000000000000000000000000000000000000000000000000000000000000435116103381882
"Asthma0y","1053315.23206937","0.00000000000000000000000000000000000000000000000000000000000192265290234921","0",1
"Asthma0y.1","0.0000120255231112381","0","16089477049791615650262404662628684448046424620884460262086842640442666028",1
"NoDoctCon","0.111111111111108","0.00602489809136854","0.59120197968155",0.334056715299648
"Rash","0.0392584514721963","0.0276335358894042","0.0538948412639021",0.000000000000000000000000000000000000000000000000000000000000000000000000000000435116103381882
"Sneeze","0.0383838383838441","0.0272890801431966","0.0522635517493616",0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000012335562381538
"HayFever","0.0393145161290305","0.0280769613378068","0.0533363594005824",0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000175943974287653
"Colds","0.0383451059535821","0.027261690627691","0.0522104627950138",0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000110995526567543
